direction,target_rho,rho_p,rho_d,rho_total,replicates,stages,all_stable,worst_p90_ttft_s,worst_p90_mean_tpot_s,slo,ttft_target_s,tpot_target_s,feasible
balanced,0.7,0.24237788475072838,0.45187932260416663,0.694257207354895,3,confirmation,False,0.621263548,0.04612060116535433,tight,0.5,0.05,False
baseline,0.25,0.018811000948860675,0.22819905791510417,0.24701005886396485,6,confirmation+discovery,True,0.12584537,0.0291623035511811,tight,0.5,0.05,True
decode_heavy,0.5,0.02006817180435384,0.4722138921213542,0.492282063925708,3,discovery,True,0.141551516,0.029896719897637796,tight,0.5,0.05,True
decode_heavy,0.7,0.02109253324216308,0.6710407940671873,0.6921333273093504,6,confirmation+discovery,True,0.152886613,0.031187683007874015,tight,0.5,0.05,True
decode_heavy,0.85,0.021837523378751625,0.8156421773005208,0.8374797006792725,6,confirmation+discovery,False,0.199799059,0.05405397691338582,tight,0.5,0.05,False
decode_heavy,0.95,0.02239626598119303,0.9240932147255206,0.9464894807067137,3,discovery,False,0.397854715,0.1495216651574803,tight,0.5,0.05,False
decode_heavy,1.1,0.023141256117781575,1.068694597958854,1.0918358540766355,3,discovery,False,0.778014217,0.3644982193622047,tight,0.5,0.05,False
prefill_heavy,0.5,0.20058859427646483,0.2971106546122396,0.4976992488887044,3,discovery,True,0.454905941,0.041218882220472444,tight,0.5,0.05,True
prefill_heavy,0.7,0.3436267005014649,0.35133617332473954,0.6949628738262044,6,confirmation+discovery,True,0.520954273,0.058504090157480315,tight,0.5,0.05,False
prefill_heavy,0.85,0.452395260443392,0.3925701615123698,0.8449654219557619,6,confirmation+discovery,False,4.913090192100001,1.3181515467488187,tight,0.5,0.05,False
prefill_heavy,0.95,0.525404293829069,0.420247770021875,0.945652063850944,3,discovery,False,27.515787757800002,1.2339599208220473,tight,0.5,0.05,False
prefill_heavy,1.1,0.6356628340441731,0.4620466073627603,1.0977094414069335,3,discovery,False,84.8877356066,0.8419657316574802,tight,0.5,0.05,False
balanced,0.7,0.24237788475072838,0.45187932260416663,0.694257207354895,3,confirmation,False,0.621263548,0.04612060116535433,paper,1.0,0.1,False
baseline,0.25,0.018811000948860675,0.22819905791510417,0.24701005886396485,6,confirmation+discovery,True,0.12584537,0.0291623035511811,paper,1.0,0.1,True
decode_heavy,0.5,0.02006817180435384,0.4722138921213542,0.492282063925708,3,discovery,True,0.141551516,0.029896719897637796,paper,1.0,0.1,True
decode_heavy,0.7,0.02109253324216308,0.6710407940671873,0.6921333273093504,6,confirmation+discovery,True,0.152886613,0.031187683007874015,paper,1.0,0.1,True
decode_heavy,0.85,0.021837523378751625,0.8156421773005208,0.8374797006792725,6,confirmation+discovery,False,0.199799059,0.05405397691338582,paper,1.0,0.1,False
decode_heavy,0.95,0.02239626598119303,0.9240932147255206,0.9464894807067137,3,discovery,False,0.397854715,0.1495216651574803,paper,1.0,0.1,False
decode_heavy,1.1,0.023141256117781575,1.068694597958854,1.0918358540766355,3,discovery,False,0.778014217,0.3644982193622047,paper,1.0,0.1,False
prefill_heavy,0.5,0.20058859427646483,0.2971106546122396,0.4976992488887044,3,discovery,True,0.454905941,0.041218882220472444,paper,1.0,0.1,True
prefill_heavy,0.7,0.3436267005014649,0.35133617332473954,0.6949628738262044,6,confirmation+discovery,True,0.520954273,0.058504090157480315,paper,1.0,0.1,True
prefill_heavy,0.85,0.452395260443392,0.3925701615123698,0.8449654219557619,6,confirmation+discovery,False,4.913090192100001,1.3181515467488187,paper,1.0,0.1,False
prefill_heavy,0.95,0.525404293829069,0.420247770021875,0.945652063850944,3,discovery,False,27.515787757800002,1.2339599208220473,paper,1.0,0.1,False
prefill_heavy,1.1,0.6356628340441731,0.4620466073627603,1.0977094414069335,3,discovery,False,84.8877356066,0.8419657316574802,paper,1.0,0.1,False
balanced,0.7,0.24237788475072838,0.45187932260416663,0.694257207354895,3,confirmation,False,0.621263548,0.04612060116535433,relaxed,2.0,0.2,False
baseline,0.25,0.018811000948860675,0.22819905791510417,0.24701005886396485,6,confirmation+discovery,True,0.12584537,0.0291623035511811,relaxed,2.0,0.2,True
decode_heavy,0.5,0.02006817180435384,0.4722138921213542,0.492282063925708,3,discovery,True,0.141551516,0.029896719897637796,relaxed,2.0,0.2,True
decode_heavy,0.7,0.02109253324216308,0.6710407940671873,0.6921333273093504,6,confirmation+discovery,True,0.152886613,0.031187683007874015,relaxed,2.0,0.2,True
