phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,291.1157740585774
baseline,1,239,239,1.0,83.11297071129708
drain,0,309,309,1.0,107.91155339805825
drain,1,309,309,1.0,342.5091909385113
post,0,240,240,1.0,88.565625
post,1,240,240,1.0,327.52375
