variant,claim,bin,n,mean_predicted_p,observed_rate,mean_bias
eb_direct,finish_within_16_work_units,1,71,0.19148175233911643,0.38028169014084506,-0.18879993780172863
eb_direct,finish_within_16_work_units,2,1187,0.26293917450689885,0.4060657118786858,-0.14312653737178693
eb_direct,finish_within_16_work_units,3,6371,0.3580009911500492,0.4118662690315492,-0.053865277881500015
eb_direct,finish_within_16_work_units,4,14884,0.4557676801335138,0.48676431066917497,-0.03099663053566116
eb_direct,finish_within_16_work_units,5,32027,0.5530981554408354,0.5595278983357792,-0.0064297428949438365
eb_direct,finish_within_16_work_units,6,61194,0.6566875528590521,0.6791352093342484,-0.022447656475196365
eb_direct,finish_within_16_work_units,7,129658,0.7536842041003186,0.7784402042295886,-0.024756000129270053
eb_direct,finish_within_16_work_units,8,342908,0.8566812423404813,0.8576527815040769,-0.0009715391635955984
eb_direct,finish_within_16_work_units,9,329039,0.9701433301334429,0.9690219092569574,0.0011214208764854607
eb_direct,finish_within_32_work_units,4,759,0.4596574050897597,0.5955204216073782,-0.13586301651761842
eb_direct,finish_within_32_work_units,5,3750,0.5655336802783115,0.6256,-0.060066319721688466
eb_direct,finish_within_32_work_units,6,11180,0.6566038396844279,0.7023255813953488,-0.045721741710920874
eb_direct,finish_within_32_work_units,7,30992,0.7576717876466412,0.7666494579246257,-0.00897767027798451
eb_direct,finish_within_32_work_units,8,93075,0.8626048456571961,0.8696535052377116,-0.007048659580515491
eb_direct,finish_within_32_work_units,9,777583,0.9691368716990247,0.9687351703933856,0.00040170130563907364
eb_direct,finish_within_8_work_units,0,423,0.07763227356165826,0.24822695035460993,-0.17059467679295168
eb_direct,finish_within_8_work_units,1,4702,0.16524424572921212,0.22033177371331347,-0.05508752798410135
eb_direct,finish_within_8_work_units,2,20440,0.25960630513020766,0.30181017612524463,-0.04220387099503693
eb_direct,finish_within_8_work_units,3,42545,0.35614121366097495,0.37383946409683866,-0.0176982504358637
eb_direct,finish_within_8_work_units,4,70937,0.4534212147554999,0.4972863244851065,-0.04386510972960659
eb_direct,finish_within_8_work_units,5,133663,0.5577801272206588,0.5866320522508098,-0.028851925030151056
eb_direct,finish_within_8_work_units,6,147288,0.6460064360352639,0.6578268426484167,-0.011820406613152805
eb_direct,finish_within_8_work_units,7,217899,0.7589339688086598,0.7643587166531283,-0.0054247478444684975
eb_direct,finish_within_8_work_units,8,89157,0.8468378235255034,0.8547057438002624,-0.007867920274759063
eb_direct,finish_within_8_work_units,9,190285,0.979459664852905,0.9827469322332291,-0.003287267380324028
eb_direct,remaining_le_25pct,0,224526,0.03542765843254916,0.05723167918192103,-0.021804020749371867
eb_direct,remaining_le_25pct,1,126240,0.15030236656719992,0.17735266159695817,-0.02705029502975827
eb_direct,remaining_le_25pct,2,142024,0.24988756111274768,0.29267588576578607,-0.04278832465303838
eb_direct,remaining_le_25pct,3,93888,0.34533673030077344,0.4012653374233129,-0.05592860712253943
eb_direct,remaining_le_25pct,4,66539,0.4459696351835491,0.48267933091870935,-0.03670969573516022
eb_direct,remaining_le_25pct,5,52540,0.5443810455326349,0.5687666539779216,-0.024385608445286658
eb_direct,remaining_le_25pct,6,29795,0.6442057937196425,0.6710186272864574,-0.026812833566815027
eb_direct,remaining_le_25pct,7,24071,0.7487838988583405,0.7939429188650243,-0.045159020006683835
eb_direct,remaining_le_25pct,8,34221,0.8535232226563146,0.8979573945822741,-0.044434171925959456
eb_direct,remaining_le_25pct,9,123495,0.973877523669193,0.9805660148184137,-0.006688491149220657
eb_direct,remaining_le_50pct,0,79745,0.02042130149628005,0.02190732961314189,-0.0014860281168618385
eb_direct,remaining_le_50pct,1,91350,0.13226162394327812,0.15232621784345923,-0.020064593900181102
eb_direct,remaining_le_50pct,2,59674,0.25374500636366104,0.2864228977444113,-0.03267789138075025
eb_direct,remaining_le_50pct,3,63718,0.35002228477869296,0.3826548228130199,-0.03263253803432691
eb_direct,remaining_le_50pct,4,70093,0.4523602963424423,0.48766638608705576,-0.03530608974461346
eb_direct,remaining_le_50pct,5,117794,0.5504142506838512,0.5825763621237074,-0.0321621114398563
eb_direct,remaining_le_50pct,6,94330,0.6456137211454855,0.6740485529524012,-0.02843483180691558
eb_direct,remaining_le_50pct,7,73185,0.7504536176466778,0.7683131789301086,-0.01785956128343074
eb_direct,remaining_le_50pct,8,77088,0.84996390818542,0.8609381486093814,-0.010974240423961458
eb_direct,remaining_le_50pct,9,190362,0.9745505656575298,0.9770017125266597,-0.0024511468691299186
eb_filter_alpha_0_02,finish_within_16_work_units,0,251,0.046192495265282,0.32270916334661354,-0.2765166680813315
eb_filter_alpha_0_02,finish_within_16_work_units,1,401,0.15223523680645495,0.5810473815461347,-0.4288121447396797
eb_filter_alpha_0_02,finish_within_16_work_units,2,649,0.253258593740187,0.539291217257319,-0.28603262351713193
eb_filter_alpha_0_02,finish_within_16_work_units,3,1443,0.35227456239876537,0.4857934857934858,-0.1335189233947204
eb_filter_alpha_0_02,finish_within_16_work_units,4,2656,0.4535954090184965,0.4608433734939759,-0.00724796447547941
