destination,end_ns,episode_id,fault_axis,first_token_ns,http_status,method,pair,policy,repeat,session_id,start_ns,ttft_s
east,4251362523944,1b46e751ac10f6ce,prefill,4251362475674,200,replay,prefill-seed456-2,shadow_validate_but_keep_original_pending,2,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa-separation-6,4246984767072,4.377708602
east,4251426579865,1b46e751ac10f6ce,prefill,4251426533107,200,replay,prefill-seed456-2,shadow_validate_but_keep_original_pending,2,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa-separation-14,4246985160064,4.441373043
east,4251602557460,1b46e751ac10f6ce,prefill,4251602508358,200,replay,prefill-seed456-2,shadow_validate_but_keep_original_pending,2,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa-separation-22,4246985663972,4.616844386
germany,4276426307337,1b46e751ac10f6ce,prefill,4276426261983,200,replay,prefill-seed456-2,shadow_validate_but_keep_original_pending,2,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e-separation-13,4246986208836,29.440053147
germany,4313279984729,1b46e751ac10f6ce,prefill,4313279938022,200,replay,prefill-seed456-2,shadow_validate_but_keep_original_pending,2,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e-separation-21,4251363459155,61.916478867
east,4318581383065,1b46e751ac10f6ce,prefill,4318581345505,200,replay,prefill-seed456-2,shadow_validate_but_keep_original_pending,2,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e-separation-5,4313307265440,5.274080065
germany,4322974671214,1b46e751ac10f6ce,prefill,4322974626571,200,kv_transfer,prefill-seed456-2,shadow_validate_but_keep_original_pending,2,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb-separation-2,4318627140896,4.347485675
germany,4327125650130,1b46e751ac10f6ce,prefill,4327125602100,200,kv_transfer,prefill-seed456-2,shadow_validate_but_keep_original_pending,2,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb-separation-26,4323006189676,4.119412424
germany,4340723884936,1b46e751ac10f6ce,prefill,4340723838600,200,replay,prefill-seed456-2,shadow_validate_but_keep_original_pending,2,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb-separation-10,4251463897535,89.259941065
germany,4368167395931,1b46e751ac10f6ce,prefill,4368167355125,200,replay,prefill-seed456-2,shadow_validate_but_keep_original_pending,2,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb-separation-18,4251614402878,116.552952247
