apply_s,causal_destination_switches,causal_method_switches,causal_redirected_sessions,cutoff_shed_w,cutoff_shortfall_fraction,decision_s,episode_id,event_s,fault_applied_s,fault_axis,fault_verified,initial_moves_sha256,pair,policy,predecision_shed_w,proposal_s,redirected_sessions,repair_outcome,repeat,requested_shed_w,requests,target_met_by_cutoff,time_to_target_s,ttft_recorded
2.02414099,6,0,6,33.31526184993285,0.0,2.000100115,255529e61d5eb3de,1.005080654,1.26538715,joint,True,35f68e004bd0825657ddb1c7fcf4fced4e87a85161c7f174bbd2a5f23a4c0c65,joint-seed456-1,shadow_validate_then_apply_pending_only,0.0,2.024115823,6,applied,1,30.928316227187338,11,True,18.440911189,True
,0,0,0,16.84922979236663,0.4552167124586168,2.000113524,42dfe7d3e969234b,1.005403635,1.251567472,joint,True,35f68e004bd0825657ddb1c7fcf4fced4e87a85161c7f174bbd2a5f23a4c0c65,joint-seed456-1,shadow_validate_but_keep_original_pending,0.0,2.023556714,0,disabled,1,30.928316227187338,11,False,94.415453357,True
,0,0,0,16.84922979236663,0.4552167124586168,2.000107126,39605765daea6c84,1.005403845,1.251131188,joint,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,joint-seed327-2,shadow_validate_but_keep_original_pending,0.0,2.020644306,0,disabled,2,30.928316227187338,11,False,94.734957027,True
2.023732361,6,1,6,34.944990146600304,0.0,2.000111287,38925f78a1a41769,1.004611013,1.250643709,joint,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,joint-seed327-2,shadow_validate_then_apply_pending_only,0.0,2.023705681,6,applied,2,30.928316227187338,12,True,18.811396013,True
2.024645064,5,1,5,34.944990146600304,0.0,2.000109801,324f39b513d0591c,1.004120622,1.257251293,prefill,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,prefill-seed327-0,shadow_validate_then_apply_pending_only,0.0,2.024620137,6,applied,0,30.928316227187338,12,True,18.56919529,True
,0,0,0,16.84922979236663,0.4552167124586168,2.000114494,9a545f1800ab1676,1.005759609,1.251396527,prefill,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,prefill-seed327-0,shadow_validate_but_keep_original_pending,0.0,2.022707909,0,disabled,0,30.928316227187338,11,False,79.839404843,True
2.023830197,6,0,6,33.31526184993285,0.0,2.000103144,c01b2ae4fca438f0,1.003975084,1.263747782,joint,True,35f68e004bd0825657ddb1c7fcf4fced4e87a85161c7f174bbd2a5f23a4c0c65,joint-seed456-0,shadow_validate_then_apply_pending_only,0.0,2.023803748,6,applied,0,30.928316227187338,11,True,18.908586614,True
,0,0,0,16.84922979236663,0.4552167124586168,2.000119692,5b016debf7c7fd14,1.006123509,1.252634769,joint,True,35f68e004bd0825657ddb1c7fcf4fced4e87a85161c7f174bbd2a5f23a4c0c65,joint-seed456-0,shadow_validate_but_keep_original_pending,0.0,2.026640514,0,disabled,0,30.928316227187338,11,False,94.470907843,True
,0,0,0,24.901064614398848,0.19487810356421126,2.000122288,ae2cd73dd97f56c9,1.005869987,1.251911556,bandwidth,True,c016a117f21a15df6ae84c42676982cfc30b7306a04659d161ac32fe96b1c78f,bandwidth-seed553-0,shadow_validate_but_keep_original_pending,2.19802369921274,2.027557784,0,disabled,0,30.928316227187338,13,False,44.365132328,True
2.024264561,0,3,3,33.94305998633418,0.0,2.000110387,424d7acdba471e30,1.004851432,1.258016805,bandwidth,True,c016a117f21a15df6ae84c42676982cfc30b7306a04659d161ac32fe96b1c78f,bandwidth-seed553-0,shadow_validate_then_apply_pending_only,2.19802369921274,2.0242475,3,applied,0,30.928316227187338,12,True,22.469100202,True
