phase,gpu,samples,power_mean_w
baseline,0,6,83.86666666666666
baseline,1,6,82.43
drain,0,9,97.07666666666667
drain,1,9,128.32888888888888
post,0,6,119.61000000000001
post,1,6,105.11333333333333
