dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,36.337010622024536,36.337010622024536,36.3371217250824,1.9073486328125e-05,9.059906005859375e-06
1,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,S,34.67129826545715,34.67129826545715,34.67140603065491,3.552436828613281e-05,4.5299530029296875e-06
2,codex:ae694cc1-4887-7ade-f085-b22a801120db,R,2.7150211334228516,2.7150211334228516,2.7151072025299072,4.482269287109375e-05,5.4836273193359375e-06
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,S,34.413494348526,34.413494348526,34.41360378265381,2.09808349609375e-05,4.5299530029296875e-06
4,codex:e6744833-786a-9c87-c539-3a40cda50680,S,35.1381049156189,35.1381049156189,36.2679500579834,1.1297595500946045,3.3855438232421875e-05
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,3.864133834838867,4.018877744674683,4.019055128097534,2.8371810913085938e-05,6.198883056640625e-06
6,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,11.067528009414673,11.067528009414673,11.067633628845215,1.9311904907226562e-05,5.245208740234375e-06
7,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,5.40281867980957,5.40281867980957,5.402903079986572,4.315376281738281e-05,5.0067901611328125e-06
8,codex:41e93e85-eff7-106f-9736-224049baedb2,R,2.374957323074341,2.8790464401245117,2.879192352294922,9.417533874511719e-05,5.245208740234375e-06
9,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,S,34.70290207862854,34.70290207862854,35.640167474746704,0.937201976776123,9.5367431640625e-06
10,codex:e717fd54-aecf-8710-559b-8d23833866c4,S,36.74621915817261,36.74621915817261,38.9614577293396,2.215156078338623,2.384185791015625e-05
11,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,S,34.263845682144165,34.263845682144165,34.26436424255371,3.933906555175781e-05,1.4066696166992188e-05
12,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,4.1219446659088135,4.2763752937316895,4.276445627212524,2.193450927734375e-05,5.9604644775390625e-06
13,codex:c55b5430-f5e1-56b7-a298-2db8c6581658,S,36.45582342147827,36.84442496299744,36.84461784362793,3.24249267578125e-05,5.9604644775390625e-06
14,codex:b759a30c-c03e-8e0e-1900-3ac8dd4c0130,S,36.1866934299469,36.1866934299469,38.89996337890625,2.713109254837036,6.985664367675781e-05
15,codex:1db326cd-3c43-ad82-b907-27bc1f12c287,S,34.262062788009644,34.262062788009644,35.03047561645508,0.7683329582214355,1.7881393432617188e-05
