model,turn,seconds_left,confidence_percent,raw
deepseek-ai/DeepSeek-V4-Pro,1,300.0,80.0,"{300s, 80%}"
deepseek-ai/DeepSeek-V4-Pro,2,180.0,90.0,"{180s, 90%}"
deepseek-ai/DeepSeek-V4-Pro,3,180.0,85.0,"{180s, 85%}"
deepseek-ai/DeepSeek-V4-Pro,4,180.0,85.0,"{180s, 85%}"
deepseek-ai/DeepSeek-V4-Pro,5,45.0,90.0,"{45s, 90%}"
deepseek-ai/DeepSeek-V4-Pro,6,45.0,90.0,"{45s, 90%}"
deepseek-ai/DeepSeek-V4-Pro,7,120.0,90.0,"{120s, 90%}"
deepseek-ai/DeepSeek-V4-Pro,8,45.0,90.0,"{45s, 90%}"
deepseek-ai/DeepSeek-V4-Pro,9,45.0,90.0,"{45s, 90%}"
deepseek-ai/DeepSeek-V4-Pro,10,60.0,90.0,"{60s, 90%}"
deepseek-ai/DeepSeek-V4-Pro,11,120.0,90.0,"{120s, 90%}"
deepseek-ai/DeepSeek-V4-Pro,12,60.0,70.0,"{60s, 70%}"
deepseek-ai/DeepSeek-V4-Pro,13,20.0,95.0,"{20s, 95%}"
deepseek-ai/DeepSeek-V4-Pro,14,60.0,80.0,"{60s, 80%}"
deepseek-ai/DeepSeek-V4-Pro,15,60.0,90.0,"{60s, 90%}"
deepseek-ai/DeepSeek-V4-Pro,16,90.0,85.0,"{90s, 85%}"
deepseek-ai/DeepSeek-V4-Pro,17,120.0,85.0,"{120s, 85%}"
deepseek-ai/DeepSeek-V4-Pro,18,10.0,95.0,"{10s, 95%}"
deepseek-ai/DeepSeek-V4-Pro,19,0.0,100.0,"{0s, 100%}"
Qwen/Qwen3.6-Plus,1,200.0,70.0,"{200s, 70%}"
Qwen/Qwen3.6-Plus,2,90.0,75.0,"{90s, 75%}"
Qwen/Qwen3.6-Plus,3,60.0,80.0,"{60s, 80%}"
Qwen/Qwen3.6-Plus,4,60.0,80.0,"{60s, 80%}"
Qwen/Qwen3.6-Plus,5,120.0,80.0,"{120s, 80%}"
Qwen/Qwen3.6-Plus,6,120.0,85.0,"{120s, 85%}"
Qwen/Qwen3.6-Plus,7,150.0,80.0,"{150s, 80%}"
Qwen/Qwen3.6-Plus,8,40.0,85.0,"{40s, 85%}"
Qwen/Qwen3.6-Plus,9,30.0,85.0,"{30s, 85%}"
Qwen/Qwen3.6-Plus,10,40.0,85.0,"{40s, 85%}"
Qwen/Qwen3.6-Plus,11,40.0,85.0,"{40s, 85%}"
Qwen/Qwen3.6-Plus,12,35.0,90.0,"{35s, 90%}"
Qwen/Qwen3.6-Plus,13,30.0,85.0,"{30s, 85%}"
Qwen/Qwen3.6-Plus,14,30.0,80.0,"{30s, 80%}"
Qwen/Qwen3.6-Plus,15,30.0,80.0,"{30s, 80%}"
Qwen/Qwen3.6-Plus,16,40.0,85.0,"{40s, 85%}"
Qwen/Qwen3.6-Plus,17,30.0,85.0,"{30s, 85%}"
Qwen/Qwen3.6-Plus,18,45.0,80.0,"{45s, 80%}"
Qwen/Qwen3.6-Plus,19,0.0,100.0,"{0s, 100%}"
Qwen/Qwen3.5-9B,1,180.0,75.0,"{180s, 75%}"
Qwen/Qwen3.5-9B,2,150.0,75.0,"{150s, 75%}"
Qwen/Qwen3.5-9B,3,90.0,70.0,"{90s, 70%}"
Qwen/Qwen3.5-9B,4,60.0,75.0,"{60s, 75%}"
Qwen/Qwen3.5-9B,5,90.0,75.0,"{90s, 75%}"
Qwen/Qwen3.5-9B,6,90.0,85.0,"{90s, 85%}"
Qwen/Qwen3.5-9B,7,90.0,75.0,"{90s, 75%}"
Qwen/Qwen3.5-9B,8,90.0,75.0,"{90s, 75%}"
Qwen/Qwen3.5-9B,9,90.0,70.0,"{90s, 70%}"
Qwen/Qwen3.5-9B,10,45.0,75.0,"{45s, 75%}"
Qwen/Qwen3.5-9B,11,45.0,85.0,"{45s, 85%}"
Qwen/Qwen3.5-9B,12,90.0,70.0,"{90s, 70%}"
Qwen/Qwen3.5-9B,13,60.0,70.0,"{60s, 70%}"
Qwen/Qwen3.5-9B,14,45.0,85.0,"{45s, 85%}"
Qwen/Qwen3.5-9B,15,45.0,85.0,"{45s, 85%}"
Qwen/Qwen3.5-9B,16,45.0,70.0,"{45s, 70%}"
Qwen/Qwen3.5-9B,17,30.0,90.0,"{30s, 90%}"
Qwen/Qwen3.5-9B,18,60.0,85.0,"{60s, 85%}"
Qwen/Qwen3.5-9B,19,5.0,95.0,"{5s, 95%}"
Qwen/Qwen2.5-7B-Instruct-Turbo,1,600.0,70.0,"{600s, 70%}"
Qwen/Qwen2.5-7B-Instruct-Turbo,2,600.0,70.0,"{600s, 70%}"
Qwen/Qwen2.5-7B-Instruct-Turbo,3,600.0,70.0,"{600s, 70%}"
Qwen/Qwen2.5-7B-Instruct-Turbo,4,120.0,70.0,"{120s, 70%}"
Qwen/Qwen2.5-7B-Instruct-Turbo,5,300.0,70.0,"{300s, 70%}"
