phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,291.62175
baseline,1,240,240,1.0,83.39829166666667
drain,0,122,122,1.0,200.70172131147538
drain,1,122,122,1.0,284.89852459016396
post,0,240,240,1.0,198.39783333333332
post,1,240,240,1.0,319.76216666666664
