timestamp,index,power_w,util_gpu,memory_mib
2026/07/13 00:04:37.585, 0, 81.18, 0, 74055
2026/07/13 00:04:37.590, 1, 81.94, 0, 74055
2026/07/13 00:04:37.840, 0, 348.23, 6, 74055
2026/07/13 00:04:37.840, 1, 81.86, 0, 74055
2026/07/13 00:04:38.090, 0, 125.40, 35, 74055
2026/07/13 00:04:38.091, 1, 81.94, 0, 74055
2026/07/13 00:04:38.341, 0, 126.60, 32, 74055
2026/07/13 00:04:38.341, 1, 82.21, 0, 74055
2026/07/13 00:04:38.591, 0, 126.00, 32, 74055
2026/07/13 00:04:38.591, 1, 81.61, 0, 74055
2026/07/13 00:04:38.841, 0, 120.83, 32, 74055
2026/07/13 00:04:38.841, 1, 81.94, 0, 74055
2026/07/13 00:04:39.091, 0, 120.57, 32, 74055
2026/07/13 00:04:39.091, 1, 81.53, 0, 74055
2026/07/13 00:04:39.342, 0, 123.43, 32, 74055
2026/07/13 00:04:39.342, 1, 81.86, 0, 74055
2026/07/13 00:04:39.592, 0, 122.23, 32, 74055
2026/07/13 00:04:39.592, 1, 81.86, 0, 74055
2026/07/13 00:04:39.842, 0, 360.01, 31, 74055
2026/07/13 00:04:39.842, 1, 81.53, 0, 74055
2026/07/13 00:04:40.092, 0, 122.56, 90, 74055
2026/07/13 00:04:40.092, 1, 81.86, 0, 74055
2026/07/13 00:04:40.342, 0, 126.14, 32, 74055
2026/07/13 00:04:40.343, 1, 81.53, 0, 74055
2026/07/13 00:04:40.593, 0, 120.57, 32, 74055
2026/07/13 00:04:40.593, 1, 81.53, 0, 74055
2026/07/13 00:04:40.843, 0, 127.39, 31, 74055
2026/07/13 00:04:40.843, 1, 81.53, 0, 74055
2026/07/13 00:04:41.093, 0, 122.95, 31, 74055
2026/07/13 00:04:41.093, 1, 81.86, 0, 74055
2026/07/13 00:04:41.343, 0, 127.20, 31, 74055
2026/07/13 00:04:41.343, 1, 81.94, 0, 74055
2026/07/13 00:04:41.593, 0, 116.32, 31, 74055
2026/07/13 00:04:41.594, 1, 81.61, 0, 74055
2026/07/13 00:04:41.844, 0, 373.32, 44, 74055
2026/07/13 00:04:41.844, 1, 81.53, 0, 74055
2026/07/13 00:04:42.094, 0, 126.00, 100, 74055
2026/07/13 00:04:42.094, 1, 81.61, 0, 74055
2026/07/13 00:04:42.344, 0, 121.43, 32, 74055
2026/07/13 00:04:42.344, 1, 81.94, 0, 74055
2026/07/13 00:04:42.595, 0, 123.56, 32, 74055
2026/07/13 00:04:42.595, 1, 81.61, 0, 74055
2026/07/13 00:04:42.845, 0, 121.76, 31, 74055
2026/07/13 00:04:42.845, 1, 81.61, 0, 74055
2026/07/13 00:04:43.095, 0, 152.33, 95, 74055
2026/07/13 00:04:43.095, 1, 81.86, 0, 74055
2026/07/13 00:04:43.345, 0, 122.36, 32, 74055
2026/07/13 00:04:43.345, 1, 81.94, 0, 74055
2026/07/13 00:04:43.595, 0, 128.73, 31, 74055
2026/07/13 00:04:43.596, 1, 81.53, 0, 74055
2026/07/13 00:04:43.846, 0, 121.43, 33, 74055
2026/07/13 00:04:43.846, 1, 81.61, 0, 74055
2026/07/13 00:04:44.096, 0, 124.81, 31, 74055
2026/07/13 00:04:44.096, 1, 81.61, 0, 74055
2026/07/13 00:04:44.346, 0, 120.57, 31, 74055
2026/07/13 00:04:44.346, 1, 81.61, 0, 74055
2026/07/13 00:04:44.596, 0, 124.81, 32, 74055
