dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,9.646899461746216,9.646899461746216,9.646971464157104,2.8133392333984375e-05,7.152557373046875e-06
1,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,S,8.348372459411621,8.348372459411621,8.348569869995117,0.00010228157043457031,1.0728836059570312e-05
2,codex:ae694cc1-4887-7ade-f085-b22a801120db,R,1.6646409034729004,1.6646409034729004,1.6647439002990723,5.0067901611328125e-05,9.298324584960938e-06
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,S,8.368106126785278,8.368106126785278,8.368194341659546,3.6716461181640625e-05,9.775161743164062e-06
4,codex:e6744833-786a-9c87-c539-3a40cda50680,R,3.015413999557495,3.015413999557495,3.0154643058776855,1.8835067749023438e-05,4.5299530029296875e-06
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,4.044666767120361,4.1824281215667725,7.724374532699585,3.541890859603882,1.811981201171875e-05
6,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,1.7630836963653564,1.7630836963653564,1.763131856918335,1.71661376953125e-05,3.337860107421875e-06
7,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,1.9196445941925049,1.9196445941925049,1.919710636138916,3.528594970703125e-05,4.5299530029296875e-06
8,codex:41e93e85-eff7-106f-9736-224049baedb2,R,3.3498470783233643,3.56687331199646,3.566953420639038,4.0531158447265625e-05,5.9604644775390625e-06
9,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,R,2.043870687484741,2.043870687484741,2.0439610481262207,5.1021575927734375e-05,7.3909759521484375e-06
10,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,4.593416452407837,4.593416452407837,4.5934576988220215,1.6927719116210938e-05,3.5762786865234375e-06
11,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,1.6810154914855957,1.6810154914855957,2.3024964332580566,0.6214404106140137,2.0503997802734375e-05
12,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,8.125877857208252,8.290213823318481,9.196098804473877,0.9058310985565186,1.3589859008789062e-05
