phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,295.6577824267783
baseline,1,239,239,1.0,83.36376569037658
drain,0,406,406,1.0,99.42251231527095
drain,1,406,406,1.0,304.4586945812807
post,0,239,239,1.0,88.7118410041841
post,1,239,239,1.0,347.227949790795
