phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,282.4524686192469
baseline,1,239,239,1.0,82.94154811715481
drain,0,545,545,1.0,99.11047706422016
drain,1,545,545,1.0,164.1683486238532
post,0,240,240,1.0,87.67487499999999
post,1,240,240,1.0,360.97491666666673
