phase,gpu,samples,power_mean_w
baseline,0,120,157.2659166666667
baseline,1,120,85.64083333333333
drain,0,36,172.1861111111111
drain,1,36,179.86833333333334
post,0,120,216.1266666666667
post,1,120,238.53966666666668
