phase,gpu,samples,power_mean_w
baseline,0,240,290.3077083333334
baseline,1,240,86.19420833333334
drain,0,152,243.3554605263158
drain,1,152,219.56342105263158
post,0,239,108.05949790794979
post,1,239,304.0221338912134
