capacity,condition_id,phase_one_marginal_ceiling_w,resource,shadow_w_per_full_capacity,shadow_w_per_unit,unit
7125550543.868472,germany-service,32.019783021763864,route:link/east,0.0,0.0,bytes
27291604987.14322,germany-service,32.019783021763864,route:link/germany,0.0,0.0,bytes
0.75,germany-service,32.019783021763864,service:pool/east:0,0.0,0.0,replica-s/s
3762,germany-service,32.019783021763864,kv:pool/east,0.0,0.0,blocks
25.0,germany-service,32.019783021763864,migration:pool/east:replay,3.980570873342179,0.15922283493368716,replica-s
25.0,germany-service,32.019783021763864,migration:pool/east:kv_transfer,4.639170230400093,0.18556680921600371,replica-s
0.050000000000000155,germany-service,32.019783021763864,service:pool/germany:0,3.83589219272911,76.71784385458196,replica-s/s
3762,germany-service,32.019783021763864,kv:pool/germany,0.0,0.0,blocks
25.0,germany-service,32.019783021763864,migration:pool/germany:replay,0.0,0.0,replica-s
25.0,germany-service,32.019783021763864,migration:pool/germany:kv_transfer,0.0,0.0,replica-s
7125550543.868472,east-service-slow-path,34.17068242896471,route:link/east,0.0,0.0,bytes
27291604987.14322,east-service-slow-path,34.17068242896471,route:link/germany,0.0,0.0,bytes
0.10000000000000009,east-service-slow-path,34.17068242896471,service:pool/east:0,0.0,0.0,replica-s/s
3762,east-service-slow-path,34.17068242896471,kv:pool/east,0.0,0.0,blocks
25.0,east-service-slow-path,34.17068242896471,migration:pool/east:replay,1.2719070854023833,0.05087628341609533,replica-s
25.0,east-service-slow-path,34.17068242896471,migration:pool/east:kv_transfer,1.4823485560701521,0.05929394224280608,replica-s
0.75,east-service-slow-path,34.17068242896471,service:pool/germany:0,0.0,0.0,replica-s/s
3762,east-service-slow-path,34.17068242896471,kv:pool/germany,0.0,0.0,blocks
25.0,east-service-slow-path,34.17068242896471,migration:pool/germany:replay,1.2719349531675381,0.05087739812670153,replica-s
25.0,east-service-slow-path,34.17068242896471,migration:pool/germany:kv_transfer,2.3368965589803747,0.09347586235921498,replica-s
2812500000.0,joint-shaped,32.848179494407105,route:link/east,0.0,0.0,bytes
10625000000.0,joint-shaped,32.848179494407105,route:link/germany,0.0,0.0,bytes
0.5,joint-shaped,32.848179494407105,service:pool/east:0,0.0,0.0,replica-s/s
3762,joint-shaped,32.848179494407105,kv:pool/east,0.0,0.0,blocks
25.0,joint-shaped,32.848179494407105,migration:pool/east:replay,1.657748314909747,0.06630993259638988,replica-s
25.0,joint-shaped,32.848179494407105,migration:pool/east:kv_transfer,0.9646969732923185,0.03858787893169274,replica-s
0.1499999999999999,joint-shaped,32.848179494407105,service:pool/germany:0,0.021325349745723317,0.1421689983048222,replica-s/s
3762,joint-shaped,32.848179494407105,kv:pool/germany,0.0,0.0,blocks
25.0,joint-shaped,32.848179494407105,migration:pool/germany:replay,1.650321725802764,0.06601286903211057,replica-s
25.0,joint-shaped,32.848179494407105,migration:pool/germany:kv_transfer,2.474339331506304,0.09897357326025215,replica-s
