dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,25.501873254776,29.808908224105835,30.740357160568237,0.9313857555389404,1.2874603271484375e-05
1,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,S,24.664453744888306,24.664453744888306,24.66466760635376,7.510185241699219e-05,4.5299530029296875e-06
2,codex:ae694cc1-4887-7ade-f085-b22a801120db,R,1.7903838157653809,1.7903838157653809,1.7905123233795166,8.320808410644531e-05,1.049041748046875e-05
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,S,24.415861129760742,24.415861129760742,24.41600203514099,2.5033950805664062e-05,1.0013580322265625e-05
4,codex:e6744833-786a-9c87-c539-3a40cda50680,S,25.125699043273926,25.125699043273926,26.187450885772705,1.0617072582244873,2.0742416381835938e-05
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,3.4644384384155273,3.6158111095428467,7.080758810043335,3.4648923873901367,2.0265579223632812e-05
6,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,8.233606576919556,8.233606576919556,8.233697414398193,2.3126602172851562e-05,5.245208740234375e-06
7,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,5.266168117523193,5.266168117523193,5.2662458419799805,3.314018249511719e-05,5.245208740234375e-06
8,codex:41e93e85-eff7-106f-9736-224049baedb2,R,4.23135232925415,4.528380870819092,4.528436899185181,2.5033950805664062e-05,3.337860107421875e-06
9,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,S,24.70439600944519,24.70439600944519,25.113213062286377,0.4086124897003174,9.775161743164062e-06
10,codex:e717fd54-aecf-8710-559b-8d23833866c4,S,30.680495023727417,30.680495023727417,30.68057656288147,1.9311904907226562e-05,5.0067901611328125e-06
11,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,S,24.277506828308105,24.277506828308105,24.27761483192444,2.0265579223632812e-05,9.775161743164062e-06
12,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,3.0250754356384277,3.1594040393829346,3.159543514251709,2.0503997802734375e-05,5.9604644775390625e-06
