phase,gpu,samples,power_mean_w
baseline,0,120,229.98608333333334
baseline,1,120,84.65033333333334
drain,0,302,151.44751655629142
drain,1,302,124.02208609271523
post,0,120,111.32766666666666
post,1,120,141.00799999999998
