api_request_bytes,attempt,background,bandwidth,condition_index,deadline_met,deadline_s,destination,error,kv_response_bytes,median_tcp_rtt_ms,migration_s,movement_tokens,pack,policy,realized_shed_w,repeat,request_failures,requested_shed_w,retransmissions,scenario_id,session_count,status,target_met,workload
564759,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,41,True,30,germany,,7247767104,,21.077073686,262144,16x16k,queue_haul_power_blind,56.51588693953447,0,0,49.48530596349974,0,6faec144a475216a,16,complete,True,agentic_tool_loop
377801,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,37,True,30,germany,,6442459648,,17.99222308,131072,8x16k,queue_haul,61.856632454374676,1,0,49.48530596349974,0,d66133c7a68813c2,8,complete,True,agentic_tool_loop
371621,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,37,True,30,germany,,6442459648,,17.22604936,131072,8x16k,greedy,61.856632454374676,1,0,49.48530596349974,0,85d624c39df9927f,8,complete,True,agentic_tool_loop
374999,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,37,True,30,"east,germany",,0,,20.396712597,131072,8x16k,replay_only,61.856632454374676,1,0,49.48530596349974,0,0764411cbdbccd77,8,complete,True,agentic_tool_loop
335214,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,37,True,30,germany,,5637152192,,16.693907528,131072,8x16k,kv_only,57.6872635929998,1,1,49.48530596349974,0,28d28cef07330c70,8,complete,True,agentic_tool_loop
329004,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,37,True,30,germany,,5637152192,,16.303858438,131072,8x16k,queue_haul_power_blind,18.184090680191332,1,0,49.48530596349974,0,bdb8501a93d79dce,8,complete,False,agentic_tool_loop
383999,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,38,True,30,germany,,6442459648,,18.547827615,131072,8x16k,queue_haul,61.856632454374676,1,0,49.48530596349974,0,15e55c1c0eac6a29,8,complete,True,agentic_tool_loop
428146,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,38,True,30,germany,,7247767104,,19.481777527,131072,8x16k,greedy,61.856632454374676,1,0,49.48530596349974,0,fd75418a99a10a48,8,complete,True,agentic_tool_loop
384257,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,38,True,30,"east,germany",,0,,20.905399679,131072,8x16k,replay_only,61.856632454374676,1,0,49.48530596349974,0,2970bbe6efd0682e,8,complete,True,agentic_tool_loop
443595,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,38,True,30,germany,,7247767104,,21.591799052,131072,8x16k,kv_only,61.856632454374676,1,0,49.48530596349974,0,6055f8eedc42a79f,8,complete,True,agentic_tool_loop
