job_id|job_name|state|elapsed|exit_code|node_list
37874352|sh_dev|CANCELLED by 449646|03:47:21|0:0|sh03-11n16
37874352.interactive|interactive|CANCELLED|03:47:21|0:0|sh03-11n16
37874352.extern|extern|COMPLETED|03:47:51|0:0|sh03-11n16
