gpus,variant,deadline_s,policy,handoff_fraction,admitted_fraction,power_mw,kv_source_fraction,kv_handoff_share
66666,baseline,30,greedy,0.9983488894996727,0.9983488894996728,4.494981100767083,0.0035910278874391665,0.003596966877219473
66666,baseline,30,isolated_fastest,0.9779000997951319,0.9779000997951316,4.402912161519265,0.001157419291376243,0.001183576207445648
66666,baseline,30,kv_only,0.023625535935384127,0.02362553721740354,0.10637196940066315,0.023625535935384127,1.0
66666,baseline,30,queue_haul,0.9999529982305302,0.9999608587679928,4.502203464115825,0.007407347508001158,0.007407695682805944
66666,baseline,30,replay_only,0.9999999989801878,0.9999999989801868,4.502415081000118,0.0,0.0
66666,baseline,120,greedy,1.0000000000000004,0.9999999999999999,4.502415085591737,0.006821959327355194,0.006821959327355191
66666,baseline,120,isolated_fastest,0.9816302529313014,0.9816302529312994,4.4197068592711215,0.0048880991264952265,0.004979572615960642
66666,baseline,120,kv_only,0.11483980178421403,0.11483980178421391,0.5170564559796099,0.11483980178421403,1.0
66666,baseline,120,queue_haul,0.9999999989958395,0.999999998995838,4.502415081070587,0.014372377174752564,0.014372377189184738
66666,baseline,120,replay_only,0.9999999989804454,0.9999999989804452,4.502415081001277,0.0,0.0
66666,baseline,300,greedy,1.0000000000000004,0.9999999999999999,4.502415085591737,0.006821959327355194,0.006821959327355191
66666,baseline,300,isolated_fastest,0.9982147612561358,0.9982147612561336,4.4943771997399775,0.007377795177282568,0.0073909898587338875
66666,baseline,300,kv_only,0.2841526389003817,0.2841526389003816,1.2793731279957794,0.2841526389003817,1.0
66666,baseline,300,queue_haul,0.9999999989991187,0.9999999989991172,4.502415081085352,0.014372377178031828,0.014372377192416871
66666,baseline,300,replay_only,0.9999999989804454,0.9999999989804452,4.502415081001277,0.0,0.0
66666,reported800MB,30,greedy,0.9983350174428851,0.9983350174428851,4.494918643009334,0.003380735724431612,0.0033863739780369113
66666,reported800MB,30,isolated_fastest,0.4310854625721018,0.4310854625721017,1.9409256898639222,0.024227393673536112,0.056200906263416214
66666,reported800MB,30,kv_only,0.04819711544088898,0.048197115440888935,0.21700341964306488,0.04819711544088898,1.0
