phase,gpu,samples,power_mean_w
baseline,0,119,223.5821008403362
baseline,1,119,85.70378151260508
drain,0,152,179.6611184210526
drain,1,152,107.26750000000001
post,0,119,130.54243697478992
post,1,119,152.36378151260502
