phase,gpu,samples,power_mean_w
baseline,0,120,329.43216666666666
baseline,1,120,84.21533333333333
drain,0,1660,327.34761445783136
drain,1,1660,248.7367530120482
post,0,120,89.51483333333334
post,1,120,145.20158333333333
