workload,input_sessions,median_served_T,policy,deadline_s,target_frac,target_w,full_source_drop_w,planned_source_drop_w,planned_shortfall_w,planned_hit,deadline_hit,measured_source_drop_w,measured_sink_rise_w,total_first_token_s,total_completion_s,max_completion_s,sessions,run_root
small,16,5918.5,greedy,10.0,0.25,80.71989510204462,322.87958040817847,83.74393857118702,0.0,True,False,87.85016946778708,52.63572128851547,47.484652280807495,47.484893560409546,10.81723928451538,6,queue-haul/outputs/stage1c_grid_workloads_256g/small/greedy_D10_T0p25
small,16,5918.5,greedy,10.0,0.45,145.2958111836803,322.87958040817847,175.51973437417638,0.0,True,False,116.74149999999999,62.60016666666667,71.23512077331543,71.86414885520935,12.373891592025757,8,queue-haul/outputs/stage1c_grid_workloads_256g/small/greedy_D10_T0p45
small,16,5918.5,greedy,10.0,0.65,209.87172726531603,322.87958040817847,229.37538994476702,0.0,True,False,125.30824999999997,70.27016666666665,67.18573999404907,67.18590760231018,10.693092107772827,9,queue-haul/outputs/stage1c_grid_workloads_256g/small/greedy_D10_T0p65
small,16,5918.5,greedy,30.0,0.25,80.71989510204462,322.87958040817847,83.74393857118702,0.0,True,False,92.64433333333338,54.345833333333346,48.47382855415344,48.473912477493286,10.418631792068481,6,queue-haul/outputs/stage1c_grid_workloads_256g/small/greedy_D30_T0p25
small,16,5918.5,greedy,30.0,0.45,145.2958111836803,322.87958040817847,175.51973437417638,0.0,True,False,126.44239915966378,61.608313025210094,71.07871699333191,71.84013986587524,12.375118017196655,8,queue-haul/outputs/stage1c_grid_workloads_256g/small/greedy_D30_T0p45
small,16,5918.5,greedy,30.0,0.65,209.87172726531603,322.87958040817847,229.37538994476702,0.0,True,False,130.84108333333336,65.08416666666669,68.28644132614136,68.28652882575989,8.1825532913208,9,queue-haul/outputs/stage1c_grid_workloads_256g/small/greedy_D30_T0p65
small,16,5918.5,greedy,120.0,0.25,80.71989510204462,322.87958040817847,83.74393857118702,0.0,True,True,80.33324999999996,47.186833333333354,49.54767990112305,49.54783058166504,11.559521913528442,6,queue-haul/outputs/stage1c_grid_workloads_256g/small/greedy_D120_T0p25
small,16,5918.5,greedy,120.0,0.45,145.2958111836803,322.87958040817847,175.51973437417638,0.0,True,True,117.22675,60.74500000000002,68.82057118415833,69.60994243621826,11.755669593811035,8,queue-haul/outputs/stage1c_grid_workloads_256g/small/greedy_D120_T0p45
small,16,5918.5,greedy,120.0,0.65,209.87172726531603,322.87958040817847,229.37538994476702,0.0,True,True,127.32953501400561,58.60040476190474,78.91332054138184,78.91338300704956,10.982824325561523,9,queue-haul/outputs/stage1c_grid_workloads_256g/small/greedy_D120_T0p65
small,16,5918.5,random,10.0,0.25,80.71989510204462,322.87958040817847,87.54756037959561,0.0,True,False,86.25601470588236,58.09495798319331,69.47955083847046,72.39039397239685,11.15756869316101,11,queue-haul/outputs/stage1c_grid_workloads_256g/small/random_D10_T0p25
small,16,5918.5,random,10.0,0.45,145.2958111836803,322.87958040817847,166.0826340560413,0.0,True,False,122.42957212885158,63.64519397759099,85.91379880905151,89.06175422668457,12.548507452011108,13,queue-haul/outputs/stage1c_grid_workloads_256g/small/random_D10_T0p45
small,16,5918.5,random,10.0,0.65,209.87172726531603,322.87958040817847,322.87958040817847,0.0,True,False,135.13641666666666,62.204833333333326,109.13369917869568,109.13458275794983,12.049433946609497,16,queue-haul/outputs/stage1c_grid_workloads_256g/small/random_D10_T0p65
small,16,5918.5,random,30.0,0.25,80.71989510204462,322.87958040817847,87.54756037959561,0.0,True,False,114.89031092436977,65.18843487394956,59.215774059295654,59.216113567352295,14.715951919555664,11,queue-haul/outputs/stage1c_grid_workloads_256g/small/random_D30_T0p25
small,16,5918.5,random,30.0,0.45,145.2958111836803,322.87958040817847,166.0826340560413,0.0,True,False,110.35608333333334,52.59075,73.77246904373169,74.87751030921936,14.167613983154297,13,queue-haul/outputs/stage1c_grid_workloads_256g/small/random_D30_T0p45
small,16,5918.5,random,30.0,0.65,209.87172726531603,322.87958040817847,322.87958040817847,0.0,True,False,142.10008333333332,72.09516666666666,101.45691275596619,101.45699095726013,16.65159273147583,16,queue-haul/outputs/stage1c_grid_workloads_256g/small/random_D30_T0p65
small,16,5918.5,random,120.0,0.25,80.71989510204462,322.87958040817847,87.54756037959561,0.0,True,True,109.58841666666662,69.281,57.98376154899597,57.98383641242981,24.06265640258789,11,queue-haul/outputs/stage1c_grid_workloads_256g/small/random_D120_T0p25
small,16,5918.5,random,120.0,0.45,145.2958111836803,322.87958040817847,166.0826340560413,0.0,True,True,118.65841666666668,56.357666666666645,73.33794331550598,73.47241139411926,30.740357160568237,13,queue-haul/outputs/stage1c_grid_workloads_256g/small/random_D120_T0p45
small,16,5918.5,random,120.0,0.65,209.87172726531603,322.87958040817847,322.87958040817847,0.0,True,True,124.37633333333336,68.54916666666666,81.94904661178589,82.25133681297302,38.887202739715576,16,queue-haul/outputs/stage1c_grid_workloads_256g/small/random_D120_T0p65
small,16,5918.5,all-r,10.0,0.25,80.71989510204462,322.87958040817847,96.5544110867873,0.0,True,False,97.3778536414566,181.02304831932778,37.69590520858765,37.69599771499634,7.625999927520752,6,queue-haul/outputs/stage1c_grid_workloads_256g/small/all-r_D10_T0p25
small,16,5918.5,all-r,10.0,0.45,145.2958111836803,322.87958040817847,175.51973437417638,0.0,True,False,129.95339215686272,202.31588725490192,48.06761050224304,48.54193687438965,6.362172365188599,8,queue-haul/outputs/stage1c_grid_workloads_256g/small/all-r_D10_T0p45
small,16,5918.5,all-r,10.0,0.65,209.87172726531603,322.87958040817847,229.37538994476702,0.0,True,False,133.38183823529408,221.8801456582633,55.34281873703003,55.34300708770752,9.064350843429565,9,queue-haul/outputs/stage1c_grid_workloads_256g/small/all-r_D10_T0p65
