sessions,source_instances,source_nodes,solver,bandwidth_gbps_per_node,deadline_s,end_s,target_fraction_of_removable_power,initial_source_power_w,minimum_awake_source_power_w,removable_source_power_w,requested_source_drop_w,planned_source_drop_w,modeled_source_drop_at_deadline_w,modeled_fraction_of_removable_power_shed,plan_feasible,planned_moves,replay_moves,kv_moves,moves_completed_by_deadline,moves_completed_by_end,source_nodes_drained_by_deadline,source_nodes_drained_by_end,makespan_s,p95_migration_time_s,p95_service_pause_ms,network_gb,destination_queue_max_depth,destination_queue_p95_observed_wait_s,build_s,plan_s,execute_s
1,1,1,node_aware,1.0,900,1350,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.137082365543206,0.10033899999939422,6.4187e-05,0,0.0,0.0003369580954313278,0.0005095000378787518,0.00016533257439732552
1,1,1,node_drain,1.0,900,1350,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.137082365543206,0.10033899999939422,6.4187e-05,0,0.0,0.0003369580954313278,0.000654333271086216,0.00016079097986221313
1,1,1,lp,1.0,900,1350,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.137082365543206,0.10033899999939422,6.4187e-05,0,0.0,0.0003369580954313278,0.014130167197436094,0.0001926659606397152
3,1,1,node_aware,1.0,900,1350,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,14.42052466115615,14.42052466115615,0.6666666666666702,True,2,2,0,2,2,0,0,16.27416473108641,8.137082365543206,0.10033899999939422,0.000128374,0,0.0,0.00032958341762423515,0.000595875084400177,0.00023054098710417747
3,1,1,node_drain,1.0,900,1350,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,21.630786991734112,21.630786991734112,1.0,True,3,3,0,3,3,1,1,24.411247096629616,8.137082365543206,0.10033899999939422,0.000192561,0,0.0,0.00032958341762423515,0.0008925828151404858,0.00028062518686056137
3,1,1,lp,1.0,900,1350,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,14.42052466115615,14.42052466115615,0.6666666666666702,True,2,2,0,2,2,0,0,16.27416473108641,8.137082365543206,0.10033899999939422,0.000128374,0,0.0,0.00032958341762423515,0.01157020777463913,0.00023241713643074036
10,1,1,node_aware,1.0,900,1350,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.27827133367009,35.71549334502788,35.71549334502788,0.5532435887880467,True,6,6,0,6,6,0,0,33.619667964387396,5.603277994064566,0.10033900000006035,0.000313698,0,0.0,0.0004180409014225006,0.0011044172570109367,0.00044858409091830254
10,1,1,node_drain,1.0,900,1350,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.27827133367009,64.55654266734007,64.55654266734007,1.0,True,10,10,0,10,10,1,1,66.16799742656023,8.137082365543211,0.10033899999988272,0.000570446,0,0.0,0.0004180409014225006,0.0023732921108603477,0.0006860843859612942
10,1,1,lp,1.0,900,1350,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.27827133367009,42.925755675605956,42.925755675605956,0.6649326915910355,True,7,7,0,7,7,0,0,41.756750329930604,7.376941054099613,0.10033900000001594,0.000377885,0,0.0,0.0004180409014225006,0.0124549581669271,0.0005411254242062569
32,1,1,node_aware,1.0,900,1350,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817679,78.56092170685497,78.56092170685497,0.530070153895578,True,21,21,0,21,21,0,0,143.00688159014226,8.137082365543208,0.10033899999939422,0.001216983,0,0.0,0.0007551661692559719,0.0028814589604735374,0.0015708329156041145
