phase,gpu,samples,power_mean_w
baseline,0,6,90.19333333333334
baseline,1,6,82.855
drain,0,9,97.23111111111112
drain,1,9,101.98888888888888
post,0,6,120.40166666666669
post,1,6,207.5666666666667
