dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,13.602722883224487,13.696472406387329,16.65159273147583,2.955068588256836,1.7881393432617188e-05
1,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,S,12.215746641159058,12.215746641159058,12.21590280532837,2.1696090698242188e-05,5.245208740234375e-06
2,codex:ae694cc1-4887-7ade-f085-b22a801120db,R,4.815993785858154,4.815993785858154,4.816060543060303,2.3126602172851562e-05,5.7220458984375e-06
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,S,11.977504014968872,11.977504014968872,11.977562189102173,1.9311904907226562e-05,3.337860107421875e-06
4,codex:e6744833-786a-9c87-c539-3a40cda50680,S,12.696358680725098,12.696358680725098,12.69643783569336,3.7670135498046875e-05,5.0067901611328125e-06
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,3.811455011367798,3.9638237953186035,6.296613693237305,2.3325390815734863,2.3603439331054688e-05
6,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,2.8591694831848145,2.8591694831848145,2.9028656482696533,0.04358649253845215,3.719329833984375e-05
7,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,2.8613100051879883,2.8613100051879883,2.861473321914673,2.5510787963867188e-05,6.67572021484375e-06
8,codex:41e93e85-eff7-106f-9736-224049baedb2,R,3.3097681999206543,3.4515278339385986,3.4516000747680664,2.5510787963867188e-05,5.4836273193359375e-06
9,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,R,2.3192460536956787,2.3192460536956787,3.6784918308258057,1.3591606616973877,3.0517578125e-05
10,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,3.463121175765991,3.6169610023498535,6.6916773319244385,3.0746445655822754,2.2649765014648438e-05
11,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,7.906718015670776,7.906718015670776,7.9067912101745605,2.4080276489257812e-05,5.4836273193359375e-06
12,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,7.923808336257935,8.247495412826538,8.247698307037354,2.3126602172851562e-05,5.9604644775390625e-06
13,codex:c55b5430-f5e1-56b7-a298-2db8c6581658,R,7.6027116775512695,7.758975028991699,7.759047031402588,2.4080276489257812e-05,5.4836273193359375e-06
14,codex:b759a30c-c03e-8e0e-1900-3ac8dd4c0130,R,3.183844566345215,3.183844566345215,3.183936595916748,2.9802322387695312e-05,5.7220458984375e-06
15,codex:1db326cd-3c43-ad82-b907-27bc1f12c287,R,1.724897861480713,1.724897861480713,1.7249760627746582,2.0503997802734375e-05,5.4836273193359375e-06
