admission_rejected,api_request_bytes,attempt,background,background_warnings,bandwidth,capacity_violations,condition_index,deadline_met,deadline_s,destination,error,eventual_shed_w,eventual_target_met,kv_evidence_warnings,kv_response_bytes,load_warnings,median_tcp_rtt_ms,migration_s,movement_tokens,pack,policy,realized_shed_w,repeat,request_failures,requested_shed_w,retransmissions,scenario_id,session_count,status,target_met,time_to_target_s,workload
False,810501,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,germany,,24.306814417430502,False,0,6077554707,0,,20.905118158,648131,recorded-28-seed-8,isolated_fastest,24.306814417430502,0,0,44.536775367149765,0,9c91d162bb0a3960,28,complete,False,,agentic_tool_loop
False,1992167,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,False,45,"east,germany",,54.196009369810085,True,0,16684963854,0,,54.368186669,648131,recorded-28-seed-8,queue_haul_deadline_blind,49.33847134335582,0,0,44.536775367149765,0,7e3e34ace1d15ae3,28,complete,True,40.443715822,agentic_tool_loop
True,82838,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,"[""kv:pool/east"", ""service:pool/germany:0""]",0,True,45,,,0.0,False,0,0,0,,3.0216e-05,648131,recorded-28-seed-8,queue_haul_stale,0.0,0,0,44.536775367149765,0,b626baf85d70b7c2,28,complete,False,,agentic_tool_loop
False,1026504,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,20.736773044837037,False,0,6039805920,0,,24.720364357,648131,recorded-28-seed-8,queue_haul_power_blind,20.736773044837037,0,0,44.536775367149765,0,eb8d69155600c9ac,28,complete,False,,agentic_tool_loop
False,851139,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,germany,,24.306814417430502,False,0,6077554707,0,,24.443314832,648131,recorded-28-seed-8,oracle_germany_only,24.306814417430502,0,0,44.536775367149765,0,c4788307ad151577,28,complete,False,,agentic_tool_loop
False,569098,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,30.89914916551328,False,0,0,0,,10.567877267,648131,recorded-28-seed-8,oracle_replay_only,30.89914916551328,0,0,44.536775367149765,0,15a6f9ddb431cfcb,28,complete,False,,agentic_tool_loop
False,1042168,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,49.13328620483598,True,0,6769615802,0,,24.557885194,648131,recorded-28-seed-8,queue_haul_robust,49.13328620483598,0,0,44.536775367149765,0,bc1b20ae97a13eec,28,complete,True,24.556821561,agentic_tool_loop
False,406727,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,east,,22.727237539970474,False,0,0,0,,9.956382753,648131,recorded-28-seed-8,oracle_east_only,22.727237539970474,0,0,44.536775367149765,0,7380a6b538b60a7a,28,complete,False,,agentic_tool_loop
False,808555,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,39.603120089513055,False,0,4404025150,0,,15.261512232,648131,recorded-28-seed-8,greedy,39.603120089513055,0,0,44.536775367149765,0,4f55b1b849a2a6aa,28,complete,False,,agentic_tool_loop
False,664555,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,27.312108055075186,False,0,6517957222,0,,24.344187705,648131,recorded-28-seed-8,oracle_kv_only,27.312108055075186,0,0,44.536775367149765,0,a3a79c056d3bc56c,28,complete,False,,agentic_tool_loop
False,411416,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,east,,22.727237539970474,False,0,0,0,,10.035381259,648131,recorded-28-seed-8,oracle_east_only,22.727237539970474,1,0,44.536775367149765,0,8914f890317f6fb0,28,complete,False,,agentic_tool_loop
False,2031242,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,False,45,"east,germany",,54.196009369810085,True,0,16684963854,0,,56.665493473,648131,recorded-28-seed-8,queue_haul_deadline_blind,48.03846554666306,1,0,44.536775367149765,0,0ffa1dc28ba84e34,28,complete,True,38.886398784,agentic_tool_loop
False,667681,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,27.312108055075186,False,0,6517957222,0,,24.068422854,648131,recorded-28-seed-8,oracle_kv_only,27.312108055075186,1,0,44.536775367149765,0,b89ca1e40f7f5bce,28,complete,False,,agentic_tool_loop
False,877710,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,germany,,24.306814417430502,False,0,6077554707,0,,26.235769994,648131,recorded-28-seed-8,isolated_fastest,24.306814417430502,1,0,44.536775367149765,0,63b3f3a86584a82a,28,complete,False,,agentic_tool_loop
False,858954,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,germany,,24.306814417430502,False,0,6077554707,0,,24.916852755,648131,recorded-28-seed-8,oracle_germany_only,24.306814417430502,1,0,44.536775367149765,0,21da5c7b13b607f0,28,complete,False,,agentic_tool_loop
True,84401,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,"[""kv:pool/east"", ""service:pool/germany:0""]",0,True,45,,,0.0,False,0,0,0,,0.000532893,648131,recorded-28-seed-8,queue_haul_stale,0.0,1,0,44.536775367149765,0,0d6a33f866dd2a61,28,complete,False,,agentic_tool_loop
False,1001530,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,49.13328620483598,True,0,6769615802,0,,19.129547706,648131,recorded-28-seed-8,queue_haul_robust,49.13328620483598,1,0,44.536775367149765,0,9e898ecb8597523e,28,complete,True,19.127881976,agentic_tool_loop
False,1053075,3,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,20.736773044837037,False,0,6039805920,0,,24.552052794,648131,recorded-28-seed-8,queue_haul_power_blind,20.736773044837037,1,0,44.536775367149765,0,adc8a0956bf631bc,28,complete,False,,agentic_tool_loop
False,821058,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,39.603120089513055,False,0,4404025150,0,,12.51675715,648131,recorded-28-seed-8,greedy,39.603120089513055,1,0,44.536775367149765,0,01ee01fcf32b7bac,28,complete,False,,agentic_tool_loop
False,608170,1,"{""east"": [0.25, 0.9], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,30.89914916551328,False,0,0,0,,11.859943637,648131,recorded-28-seed-8,oracle_replay_only,30.89914916551328,1,0,44.536775367149765,0,41d63b2c85e7d3ee,28,complete,False,,agentic_tool_loop
