policy,metric,time_s,value,limit,basis
queue_haul_robust,power_shed_w,0.0,0.0,44.536775367149765,measured
queue_haul_robust,power_shed_w,9.15496188,2.19802369921274,44.536775367149765,measured
queue_haul_robust,power_shed_w,9.250802108,3.675433759280537,44.536775367149765,measured
queue_haul_robust,power_shed_w,9.317617048,4.140042805818581,44.536775367149765,measured
queue_haul_robust,power_shed_w,9.382857872,4.751480648793489,44.536775367149765,measured
queue_haul_robust,power_shed_w,9.4780839,5.163800971695281,44.536775367149765,measured
queue_haul_robust,power_shed_w,9.47830086,5.628410018233325,44.536775367149765,measured
queue_haul_robust,power_shed_w,9.508906325,6.0407303411351165,44.536775367149765,measured
queue_haul_robust,power_shed_w,10.534889486,11.657140271923993,44.536775367149765,measured
queue_haul_robust,power_shed_w,10.71467304,13.855163971136733,44.536775367149765,measured
queue_haul_robust,power_shed_w,10.774255425,21.008659224422246,44.536775367149765,measured
queue_haul_robust,power_shed_w,10.830678748,24.59570033486034,44.536775367149765,measured
queue_haul_robust,power_shed_w,13.900025681,35.15889637609767,44.536775367149765,measured
queue_haul_robust,power_shed_w,17.37368147,39.81702631901045,44.536775367149765,measured
queue_haul_robust,power_shed_w,20.906779725,44.47515626192322,44.536775367149765,measured
queue_haul_robust,power_shed_w,24.556821561,49.13328620483598,44.536775367149765,measured
queue_haul_robust,power_shed_w,90,49.13328620483598,44.536775367149765,measured
queue_haul_robust,kv:pool/east,0.0,0.0,1,planned work in measured completion order
queue_haul_robust,service:pool/germany:0,0.0,0.0,1,planned work in measured completion order
queue_haul_robust,migration:pool/east:replay,0.0,0.0,1,planned work in measured completion order
queue_haul_robust,migration:pool/germany:replay,0.0,0.0,1,planned work in measured completion order
queue_haul_robust,migration:pool/germany:kv_transfer,0.0,0.0,1,planned work in measured completion order
queue_haul_robust,kv:pool/east,9.15496188,0.0,1,planned work in measured completion order
queue_haul_robust,service:pool/germany:0,9.15496188,0.1332778931426105,1,planned work in measured completion order
queue_haul_robust,migration:pool/east:replay,9.15496188,0.0,1,planned work in measured completion order
queue_haul_robust,migration:pool/germany:replay,9.15496188,0.1329201787349584,1,planned work in measured completion order
queue_haul_robust,migration:pool/germany:kv_transfer,9.15496188,0.0,1,planned work in measured completion order
queue_haul_robust,kv:pool/east,9.250802108,0.0,1,planned work in measured completion order
queue_haul_robust,service:pool/germany:0,9.250802108,0.18100356552583016,1,planned work in measured completion order
queue_haul_robust,migration:pool/east:replay,9.250802108,0.0,1,planned work in measured completion order
