phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,124.90426778242677
baseline,1,239,239,1.0,83.2694979079498
drain,0,51,51,1.0,107.70333333333333
drain,1,51,51,1.0,271.0398039215686
post,0,240,240,1.0,94.79808333333334
post,1,240,240,1.0,124.79229166666666
