activity,bandwidth_mbps,catch_up_new_tokens,concurrency,continuation_difference_s,continuation_ttft_s,deadline_met,deadline_s,destination_added_energy_j,destination_added_power_w,destination_baseline_power_w,destination_mean_power_w,elapsed_s,initial_requests_s,initial_time_to_first_responses_s,kind,kv_network_window_s,match_id,measured_kv_payload_bytes,measured_kv_throughput_mbps,measured_kv_wire_bytes,measured_processed_tokens,measured_prompt_tokens,measured_replay_throughput_tokens_s,median_service_pause_s,method,migration_s,repeat,scenario_id,session_set,source_added_energy_j,source_added_power_w,source_baseline_power_w,source_mean_power_w,status,total_added_energy_j
none,1000.0,0,1,-0.0019420995000000163,0.761775792,True,300,134.86701763379963,10.113537679571948,85.27,95.38353767957194,22.996433873,13.334949772,12.184613979,migration,13.335295908,62e4a7bb0ba830e0,1180483584,708.1930156746245,1180495428,0,24017,0.0,0.0003244715,kv_transfer,13.335295908,0,m-eae87f535b935585,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",4.003706869299967,0.30023382285038736,89.55,89.85023382285038,complete,138.8707245030996
none,1000.0,0,1,-0.28738569449999996,1.060596883,True,300,130.45915436757983,10.318310646686427,85.27,95.58831064668642,21.368567638,12.643200967,11.489381089,migration,12.643460624,638863c3d2b5ba15,1180483584,746.9435472495051,1180493916,0,24017,0.0,0.000279417,kv_transfer,12.643460624,2,m-a1541885d22a6967,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",13.74272953439982,1.0869436733415512,89.55,90.63694367334155,complete,144.20188390197964
none,1000.0,0,1,,1.3479825775,True,300,,,,,9.253811166,0.0,0.0,control,0.0,638863c3d2b5ba15,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,2,c-638863c3d2b5ba15,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",,,,,complete,
none,1000.0,0,1,-0.022891323000000074,1.304624936,True,300,136.30962826521974,10.78183886296047,85.27,96.05183886296047,22.158391652,12.642034409,11.494189325,migration,12.642521373,5abf20ce50799eca,1180483584,746.9999967070651,1180495428,0,24017,0.0,0.0003944555,kv_transfer,12.642521373,1,m-2bed4a7db19c6106,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",16.662503217660305,1.3179731104307706,89.55,90.86797311043077,complete,152.97213148288006
none,1000.0,0,2,,1.329878157,True,300,,,,,9.18639744,0.0,0.0,control,0.0,f0a1bbda869d9f3c,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,2,c-f0a1bbda869d9f3c,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",,,,,complete,
none,1000.0,0,2,,1.3311647775,True,300,,,,,9.237883812,0.0,0.0,control,0.0,8bb546634182c942,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,0,c-8bb546634182c942,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",,,,,complete,
none,1000.0,0,2,-0.5820260559999999,0.7491387215,True,300,100.98562877101,8.60133588253889,85.27,93.87133588253889,19.158403925,11.740399234,9.721657165,migration,11.740691231,8bb546634182c942,1180483584,804.3786293488635,1180495140,0,24017,0.0,0.0003165865,kv_transfer,11.740691231,0,m-978f1c5ee12754ae,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",25.103411695560172,2.138154492069205,89.55,91.6881544920692,complete,126.08904046657017
none,1000.0,0,2,-0.019491955500000158,1.3071371475,True,300,89.84069299382018,7.7613667567421345,85.27,93.03136675674213,20.118807831,11.575202881,9.685954035,migration,11.575370139,9f5714e53a3c2941,1180483584,815.8670790302579,1180495428,0,24017,0.0,0.000260487,kv_transfer,11.575370139,1,m-c9d48271ee2ade28,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",19.459514248029873,1.68111377989257,89.55,91.23111377989257,complete,109.30020724185006
none,1000.0,0,1,,1.327516259,True,300,,,,,9.214214545,0.0,0.0,control,0.0,5abf20ce50799eca,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,1,c-5abf20ce50799eca,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",,,,,complete,
none,1000.0,0,1,,0.7637178915,True,300,,,,,8.071163328,0.0,0.0,control,0.0,62e4a7bb0ba830e0,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,0,c-62e4a7bb0ba830e0,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",,,,,complete,
none,1000.0,0,2,-0.025967213499999975,1.3039109435,True,300,96.07125766563017,8.288148666404837,85.27,93.55814866640483,20.876514054,11.591244765,9.698518019,migration,11.591401353,f0a1bbda869d9f3c,1180483584,814.7387133269942,1180495428,0,24017,0.0,0.0003067865,kv_transfer,11.591401353,2,m-bfc7da225dc02bba,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",33.96444614542017,2.930141499813544,89.55,92.48014149981354,complete,130.03570381105033
none,1000.0,0,2,,1.3266291030000001,True,300,,,,,9.170124818,0.0,0.0,control,0.0,9f5714e53a3c2941,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,1,c-9f5714e53a3c2941,"codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",,,,,complete,
