committed_before_power_window,committed_by_deadline,condition,context_profile,episode,hit_power_target,match_id,policy,power_attainment_fraction,power_target_fraction,repeat,required_deadline_s,sample_id,scenario_id,token_distribution
8,8,small-fixed-10000mbps-19s,small,0,True,6c942039151e55f3,greedy,1,1.0,42,19.0,7094953b638284e1,p-8c051463f347487c,fixed
8,8,small-fixed-10000mbps-19s,small,0,True,6c942039151e55f3,isolated_fastest,1,1.0,42,19.0,7094953b638284e1,p-de36a5be978f0ea6,fixed
8,8,small-fixed-10000mbps-19s,small,0,True,6c942039151e55f3,queue_haul_deadline_blind,1,1.0,42,19.0,7094953b638284e1,p-10f89d14918ef390,fixed
8,8,small-fixed-10000mbps-19s,small,0,True,6c942039151e55f3,queue_haul_power_blind,1,1.0,42,19.0,7094953b638284e1,p-0092c42541cf5c4f,fixed
8,8,small-fixed-10000mbps-19s,small,0,True,6c942039151e55f3,queue_haul,1,1.0,42,19.0,7094953b638284e1,p-e2fddaf56e778250,fixed
8,8,large-fixed-10000mbps-19s,large,1,True,7148e115bcd4269f,queue_haul,1,1.0,114,19.0,e33c7532b46acaed,p-706efe43b8fb89cc,fixed
8,8,large-fixed-10000mbps-19s,large,1,True,7148e115bcd4269f,greedy,1,1.0,114,19.0,e33c7532b46acaed,p-e70fd6df90814d07,fixed
8,8,large-fixed-10000mbps-19s,large,1,True,7148e115bcd4269f,queue_haul_power_blind,1,1.0,114,19.0,e33c7532b46acaed,p-2df1a0bd80c82495,fixed
8,8,large-fixed-10000mbps-19s,large,1,True,7148e115bcd4269f,queue_haul_deadline_blind,1,1.0,114,19.0,e33c7532b46acaed,p-c76a7a5d278ea730,fixed
8,8,large-fixed-10000mbps-19s,large,1,True,7148e115bcd4269f,isolated_fastest,1,1.0,114,19.0,e33c7532b46acaed,p-00c8b9594395ba30,fixed
8,8,tiny-fixed-5000mbps-19s,tiny,2,True,6f479d3d88892d48,greedy,1,1.0,14,19.0,bdd7bd934af6b024,p-b19c996e0214f2ac,fixed
8,8,tiny-fixed-5000mbps-19s,tiny,2,True,6f479d3d88892d48,queue_haul_deadline_blind,1,1.0,14,19.0,bdd7bd934af6b024,p-1565582ea27d8300,fixed
8,8,tiny-fixed-5000mbps-19s,tiny,2,True,6f479d3d88892d48,queue_haul_power_blind,1,1.0,14,19.0,bdd7bd934af6b024,p-a65bf9a62795e9ff,fixed
8,8,tiny-fixed-5000mbps-19s,tiny,2,True,6f479d3d88892d48,isolated_fastest,1,1.0,14,19.0,bdd7bd934af6b024,p-0ecb101be3e2f40f,fixed
8,8,tiny-fixed-5000mbps-19s,tiny,2,True,6f479d3d88892d48,queue_haul,1,1.0,14,19.0,bdd7bd934af6b024,p-b1ce583cc5b7aebf,fixed
8,8,large-fixed-1000mbps-19s,large,3,True,710c646202a2bdb4,queue_haul_deadline_blind,1,1.0,98,19.0,c44d256c433cbdd6,p-925713c07aa3018f,fixed
8,8,large-fixed-1000mbps-19s,large,3,True,710c646202a2bdb4,queue_haul,1,1.0,98,19.0,c44d256c433cbdd6,p-7f346a48eb2325fd,fixed
8,8,large-fixed-1000mbps-19s,large,3,True,710c646202a2bdb4,greedy,1,1.0,98,19.0,c44d256c433cbdd6,p-cd871301b00f2642,fixed
8,8,large-fixed-1000mbps-19s,large,3,True,710c646202a2bdb4,queue_haul_power_blind,1,1.0,98,19.0,c44d256c433cbdd6,p-6d9e9ce5043d1880,fixed
8,8,large-fixed-1000mbps-19s,large,3,True,710c646202a2bdb4,isolated_fastest,1,1.0,98,19.0,c44d256c433cbdd6,p-eb53bda663026f1d,fixed
8,8,tiny-fixed-2500mbps-19s,tiny,4,True,1e80066276481ad8,queue_haul_deadline_blind,1,1.0,8,19.0,bdd7bd934af6b024,p-04f3cef67783afad,fixed
8,8,tiny-fixed-2500mbps-19s,tiny,4,True,1e80066276481ad8,isolated_fastest,1,1.0,8,19.0,bdd7bd934af6b024,p-da608441cc672685,fixed
8,8,tiny-fixed-2500mbps-19s,tiny,4,True,1e80066276481ad8,queue_haul_power_blind,1,1.0,8,19.0,bdd7bd934af6b024,p-355d23b680aaca85,fixed
8,8,tiny-fixed-2500mbps-19s,tiny,4,True,1e80066276481ad8,queue_haul,1,1.0,8,19.0,bdd7bd934af6b024,p-ca0f229d265f7478,fixed
8,8,tiny-fixed-2500mbps-19s,tiny,4,True,1e80066276481ad8,greedy,1,1.0,8,19.0,bdd7bd934af6b024,p-3211d33a61a5ea04,fixed
8,8,large-fixed-2500mbps-19s,large,5,True,f94c7d457b765277,greedy,1,1.0,103,19.0,3a515af4dffc7733,p-d023bf7e0312e116,fixed
8,8,large-fixed-2500mbps-19s,large,5,True,f94c7d457b765277,isolated_fastest,1,1.0,103,19.0,3a515af4dffc7733,p-cb55db5fb3bb0fd5,fixed
8,8,large-fixed-2500mbps-19s,large,5,True,f94c7d457b765277,queue_haul,1,1.0,103,19.0,3a515af4dffc7733,p-29e413e0a3e4837f,fixed
8,8,large-fixed-2500mbps-19s,large,5,True,f94c7d457b765277,queue_haul_power_blind,1,1.0,103,19.0,3a515af4dffc7733,p-d472ef3c50210fbc,fixed
8,8,large-fixed-2500mbps-19s,large,5,True,f94c7d457b765277,queue_haul_deadline_blind,1,1.0,103,19.0,3a515af4dffc7733,p-9c6e40c4a5d4715f,fixed
8,8,mixed-fixed-2500mbps-19s,mixed,6,True,fafc815a23fc1ef3,queue_haul_power_blind,1,1.0,79,19.0,a9500bdb35e133a1,p-7b67efaa923d7ee6,fixed
8,8,mixed-fixed-2500mbps-19s,mixed,6,True,fafc815a23fc1ef3,greedy,1,1.0,79,19.0,a9500bdb35e133a1,p-3cff25ea22fefc73,fixed
8,8,mixed-fixed-2500mbps-19s,mixed,6,True,fafc815a23fc1ef3,queue_haul_deadline_blind,1,1.0,79,19.0,a9500bdb35e133a1,p-198c8ecbdbe307f9,fixed
8,8,mixed-fixed-2500mbps-19s,mixed,6,True,fafc815a23fc1ef3,queue_haul,1,1.0,79,19.0,a9500bdb35e133a1,p-e534408fb9322a57,fixed
8,8,mixed-fixed-2500mbps-19s,mixed,6,True,fafc815a23fc1ef3,isolated_fastest,1,1.0,79,19.0,a9500bdb35e133a1,p-7306dd3fbca79608,fixed
8,8,small-fixed-1000mbps-19s,small,7,True,d8d52a492fae31b7,queue_haul_deadline_blind,1,1.0,25,19.0,837f3ff09bbaac24,p-1bd14de0c1aa541c,fixed
8,8,small-fixed-1000mbps-19s,small,7,True,d8d52a492fae31b7,isolated_fastest,1,1.0,25,19.0,837f3ff09bbaac24,p-a4982b896365f584,fixed
8,8,small-fixed-1000mbps-19s,small,7,True,d8d52a492fae31b7,greedy,1,1.0,25,19.0,837f3ff09bbaac24,p-028e94bf3bb46bfd,fixed
8,8,small-fixed-1000mbps-19s,small,7,True,d8d52a492fae31b7,queue_haul,1,1.0,25,19.0,837f3ff09bbaac24,p-06956c581805fc42,fixed
8,8,small-fixed-1000mbps-19s,small,7,True,d8d52a492fae31b7,queue_haul_power_blind,1,1.0,25,19.0,837f3ff09bbaac24,p-0b3ad5c70db85b47,fixed
8,8,large-fixed-5000mbps-19s,large,8,True,ddaf241b4faedf12,queue_haul_power_blind,1,1.0,109,19.0,3a515af4dffc7733,p-59520f711de5d00d,fixed
8,8,large-fixed-5000mbps-19s,large,8,True,ddaf241b4faedf12,queue_haul_deadline_blind,1,1.0,109,19.0,3a515af4dffc7733,p-9e22ce6fee0ccf75,fixed
8,8,large-fixed-5000mbps-19s,large,8,True,ddaf241b4faedf12,queue_haul,1,1.0,109,19.0,3a515af4dffc7733,p-79cc62acf8d2cac0,fixed
8,8,large-fixed-5000mbps-19s,large,8,True,ddaf241b4faedf12,greedy,1,1.0,109,19.0,3a515af4dffc7733,p-a79eb65bb7c77119,fixed
8,8,large-fixed-5000mbps-19s,large,8,True,ddaf241b4faedf12,isolated_fastest,1,1.0,109,19.0,3a515af4dffc7733,p-23015ce47f319c1c,fixed
