catch_up_finish_s,catch_up_start_s,condition,context_profile,context_tokens,continuation_start_s,continuation_ttft_delta_s,continuation_ttft_s,episode,first_token_s,match_id,method,migration_finish_s,migration_start_s,migration_ttft_s,order,policy,quiesce_s,reaction_commit_s,reaction_readiness_s,repeat,required_deadline_s,sample_id,scenario_id,scheduler_wait_s,service_pause_s,session_id,token_distribution
,,small-fixed-10000mbps-19s,small,4096,2.542368617,-0.0782416600000001,0.560272602,0,3.102641219,6c942039151e55f3,replay,2.375316568,0.000739912,2.233299002,0,greedy,2.375320778,2.375853743,2.234038914,42,19.0,7094953b638284e1,p-8c051463f347487c,0.000739912,0.000532965,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,small-fixed-10000mbps-19s,small,4096,2.541966911,-0.09536398400000001,0.492842365,0,3.034809276,6c942039151e55f3,replay,2.422877108,0.001111638,2.255181777,1,greedy,2.422879328,2.423102626,2.256293415,42,19.0,7094953b638284e1,p-8c051463f347487c,0.001111638,0.000223298,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,fixed
,,small-fixed-10000mbps-19s,small,4096,2.542957581,-0.05084599200000006,0.537634514,0,3.080592095,6c942039151e55f3,replay,2.471013252,0.001703372,2.254931749,2,greedy,2.471015812,2.471277359,2.256635121,42,19.0,7094953b638284e1,p-8c051463f347487c,0.001703372,0.000261547,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,fixed
,,small-fixed-10000mbps-19s,small,4096,2.544268937,0.01839781600000001,0.581271496,0,3.125540433,6c942039151e55f3,replay,2.515416416,0.002739871,2.299510531,3,greedy,2.515418616,2.516325676,2.302250402,42,19.0,7094953b638284e1,p-8c051463f347487c,0.002739871,0.00090706,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,fixed
,,small-fixed-10000mbps-19s,small,4096,2.544485174,-0.09671356999999997,0.490206074,0,3.034691248,6c942039151e55f3,replay,2.375365768,0.003238076,2.230933016,4,greedy,2.375367598,2.376023771,2.234171092,42,19.0,7094953b638284e1,p-8c051463f347487c,0.003238076,0.000656173,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,fixed
,,small-fixed-10000mbps-19s,small,4096,2.545430744,-0.10106027799999995,0.534853585,0,3.080284329,6c942039151e55f3,replay,2.539393499,0.004281174,2.322783432,5,greedy,2.539395969,2.540687695,2.327064606,42,19.0,7094953b638284e1,p-8c051463f347487c,0.004281174,0.001291726,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,fixed
,,small-fixed-10000mbps-19s,small,4096,2.54489557,-0.09997009899999998,0.580545915,0,3.125441485,6c942039151e55f3,replay,2.516456665,0.004525702,2.298147675,6,greedy,2.516458035,2.516622143,2.302673377,42,19.0,7094953b638284e1,p-8c051463f347487c,0.004525702,0.000164108,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,fixed
,,small-fixed-10000mbps-19s,small,4096,2.545609282,-0.09768299000000003,0.489275044,0,3.034884326,6c942039151e55f3,replay,2.54022005,0.005352023,2.320923291,7,greedy,2.54022791,2.540993122,2.326275314,42,19.0,7094953b638284e1,p-8c051463f347487c,0.005352023,0.000765212,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,fixed
,,small-fixed-10000mbps-19s,small,4096,2.419141438,-0.14464405800000008,0.493870204,0,2.913011642,6c942039151e55f3,replay,2.208641625,0.000320346,2.069642227,0,isolated_fastest,2.208643475,2.208793154,2.069962573,42,19.0,7094953b638284e1,p-de36a5be978f0ea6,0.000320346,0.000149679,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,small-fixed-10000mbps-19s,small,4096,2.420041169,-0.07177657700000006,0.516429772,0,2.936470941,6c942039151e55f3,replay,2.230904667,0.000767702,2.092146584,1,isolated_fastest,2.230906177,2.231115574,2.092914286,42,19.0,7094953b638284e1,p-de36a5be978f0ea6,0.000767702,0.000209397,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,fixed
