scenario_id,match_id,condition,method,repeat,source_gpu,pre_window_power_w,post_window_power_w,pre_settle_gap_s,post_trace_after_switch_s,valid_settled_windows,requested_shed_w,predicted_shed_w,measured_shed_w
p-8c051463f347487c,6c942039151e55f3,small-fixed-10000mbps-19s,greedy,42,0,,,0.071937408,2.781483412,False,156.50014682302742,156.50014682302742,
p-de36a5be978f0ea6,6c942039151e55f3,small-fixed-10000mbps-19s,isolated_fastest,42,0,,,0.074267953,2.731732986,False,156.50014682302742,156.50014682302742,
p-10f89d14918ef390,6c942039151e55f3,small-fixed-10000mbps-19s,queue_haul_deadline_blind,42,0,,,0.072363592,2.770070834,False,156.50014682302742,156.50014682302742,
p-0092c42541cf5c4f,6c942039151e55f3,small-fixed-10000mbps-19s,queue_haul_power_blind,42,0,,,0.071563176,2.760298639,False,156.50014682302742,156.50014682302742,
p-e2fddaf56e778250,6c942039151e55f3,small-fixed-10000mbps-19s,queue_haul,42,0,,,0.068844945,2.774861714,False,156.50014682302742,156.50014682302742,
p-706efe43b8fb89cc,7148e115bcd4269f,large-fixed-10000mbps-19s,queue_haul,114,0,,,0.006090605,6.117520927,False,156.50014682302742,156.50014682302742,
p-e70fd6df90814d07,7148e115bcd4269f,large-fixed-10000mbps-19s,greedy,114,0,,,0.005573921,6.226685171,False,156.50014682302742,156.50014682302742,
p-2df1a0bd80c82495,7148e115bcd4269f,large-fixed-10000mbps-19s,queue_haul_power_blind,114,0,,,0.008566685,6.555545487,False,156.50014682302742,156.50014682302742,
p-c76a7a5d278ea730,7148e115bcd4269f,large-fixed-10000mbps-19s,queue_haul_deadline_blind,114,0,,,0.012400948,6.57101964,False,156.50014682302742,156.50014682302742,
p-00c8b9594395ba30,7148e115bcd4269f,large-fixed-10000mbps-19s,isolated_fastest,114,0,,,0.010263205,6.256254991,False,156.50014682302742,156.50014682302742,
p-b19c996e0214f2ac,6f479d3d88892d48,tiny-fixed-5000mbps-19s,greedy,14,0,,,0.037108885,2.719158787,False,156.50014682302742,156.50014682302742,
p-1565582ea27d8300,6f479d3d88892d48,tiny-fixed-5000mbps-19s,queue_haul_deadline_blind,14,0,,,0.034370529,2.700582553,False,156.50014682302742,156.50014682302742,
p-a65bf9a62795e9ff,6f479d3d88892d48,tiny-fixed-5000mbps-19s,queue_haul_power_blind,14,0,,,0.073881842,2.707532934,False,156.50014682302742,156.50014682302742,
