scenario_id,match_id,condition,method,repeat,source_gpu,pre_window_power_w,post_window_power_w,pre_settle_gap_s,post_trace_after_switch_s,valid_settled_windows,measurement_kind,requested_shed_w,predicted_shed_w,measured_shed_w,predicted_percent,measured_percent
p-b19c996e0214f2ac,6f479d3d88892d48,tiny-fixed-5000mbps-19s,greedy,14,0,171.84348435735,82.74364475129,0.037108885,2.719158787,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,89.09983960606,100.0,56.932751447712924
p-1565582ea27d8300,6f479d3d88892d48,tiny-fixed-5000mbps-19s,queue_haul_deadline_blind,14,0,173.23209845745,81.40000542695999,0.034370529,2.700582553,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,91.83209303049001,100.0,58.67859864331951
p-a65bf9a62795e9ff,6f479d3d88892d48,tiny-fixed-5000mbps-19s,queue_haul_power_blind,14,0,179.66073217264002,81.59131651435999,0.073881842,2.707532934,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,98.06941565828004,100.0,62.664104570571624
p-0ecb101be3e2f40f,6f479d3d88892d48,tiny-fixed-5000mbps-19s,isolated_fastest,14,0,140.57645986824,81.68530509839,0.114028027,2.716615433,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,58.89115476984999,100.0,37.63009554006677
p-b1ce583cc5b7aebf,6f479d3d88892d48,tiny-fixed-5000mbps-19s,queue_haul,14,0,127.003828059,81.67474619547998,0.050621992,2.690481104,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,45.32908186352002,100.0,28.964242388078254
p-925713c07aa3018f,710c646202a2bdb4,large-fixed-1000mbps-19s,queue_haul_deadline_blind,98,0,240.94219840672,82.44421517423999,0.21331462,2.811766982,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,158.49798323248,100.0,101.27657158795624
p-7f346a48eb2325fd,710c646202a2bdb4,large-fixed-1000mbps-19s,queue_haul,98,0,334.15404814993997,83.89371156104,0.005594033,2.764090954,False,warmup_contaminated_immediate_pre,156.50014682302742,124.8383918971974,250.26033658889997,79.768865672929,159.91060818102486
p-cd871301b00f2642,710c646202a2bdb4,large-fixed-1000mbps-19s,greedy,98,0,260.97887463950997,83.54948095360001,0.00392885,2.812151677,False,warmup_contaminated_immediate_pre,156.50014682302742,124.8383918971974,177.42939368590996,79.768865672929,113.37330813277104
p-6d9e9ce5043d1880,710c646202a2bdb4,large-fixed-1000mbps-19s,queue_haul_power_blind,98,0,322.20041261303004,82.74957730684999,0.0048427,2.793641381,False,warmup_contaminated_immediate_pre,156.50014682302742,124.8383918971974,239.45083530618007,79.768865672929,153.00358508733825
p-eb53bda663026f1d,710c646202a2bdb4,large-fixed-1000mbps-19s,isolated_fastest,98,0,265.65973022353,82.057556894,0.227941027,2.800275337,False,warmup_contaminated_immediate_pre,156.50014682302742,98.31926724347665,183.60217332953,62.82375399599942,117.31757257528321
p-04f3cef67783afad,1e80066276481ad8,tiny-fixed-2500mbps-19s,queue_haul_deadline_blind,8,0,174.54537179995,82.97478792928999,0.046625777,2.738535663,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,91.57058387066002,100.0,58.511500295401845
p-da608441cc672685,1e80066276481ad8,tiny-fixed-2500mbps-19s,isolated_fastest,8,0,182.92601000804,82.74168609893,0.047647714,2.694188512,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,100.18432390911,100.0,64.01548237676727
p-355d23b680aaca85,1e80066276481ad8,tiny-fixed-2500mbps-19s,queue_haul_power_blind,8,0,117.74061146135999,81.33017972616,0.041919822,2.697377404,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,36.41043173519999,100.0,23.26542976114484
p-ca0f229d265f7478,1e80066276481ad8,tiny-fixed-2500mbps-19s,queue_haul,8,0,113.34158614902,81.52389927728,0.045388884,2.707225904,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,31.81768687174001,100.0,20.330771259735556
p-3211d33a61a5ea04,1e80066276481ad8,tiny-fixed-2500mbps-19s,greedy,8,0,166.50281325372,81.61886277331,0.044902579,2.73253984,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,84.88395048041001,100.0,54.238895108768155
p-d023bf7e0312e116,f94c7d457b765277,large-fixed-2500mbps-19s,greedy,103,0,274.0199503185,82.01866000814,0.005278767,2.773684818,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,192.00129031036,100.0,122.68441545136552
p-cb55db5fb3bb0fd5,f94c7d457b765277,large-fixed-2500mbps-19s,isolated_fastest,103,0,202.33110488097,83.88489473144,0.229228058,2.804656898,False,warmup_contaminated_immediate_pre,156.50014682302742,98.31926724347665,118.44621014953,62.82375399599942,75.68440832421112
p-29e413e0a3e4837f,f94c7d457b765277,large-fixed-2500mbps-19s,queue_haul,103,0,286.65882914426,83.25819813944,0.003839683,2.774279104,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,203.40063100481999,100.0,129.96833238426817
p-d472ef3c50210fbc,f94c7d457b765277,large-fixed-2500mbps-19s,queue_haul_power_blind,103,0,257.24382892191005,82.42666670834,0.004275288,2.78725688,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,174.81716221357004,100.0,111.70415220840384
p-9c6e40c4a5d4715f,f94c7d457b765277,large-fixed-2500mbps-19s,queue_haul_deadline_blind,103,0,169.11545144037999,82.04,0.329768926,2.777858514,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,87.07545144037998,100.0,55.639213897253484
p-7b67efaa923d7ee6,fafc815a23fc1ef3,mixed-fixed-2500mbps-19s,queue_haul_power_blind,79,0,267.41310832557997,82.75553704763,0.126691373,2.902294209,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,184.65757127794996,100.0,117.99194762849862
p-3cff25ea22fefc73,fafc815a23fc1ef3,mixed-fixed-2500mbps-19s,greedy,79,0,291.28550990947997,82.7,0.124412896,2.909904754,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,208.58550990947998,100.0,133.28135094042528
p-198c8ecbdbe307f9,fafc815a23fc1ef3,mixed-fixed-2500mbps-19s,queue_haul_deadline_blind,79,0,292.81742642391,82.3522833776,0.120743262,2.908710963,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,210.46514304630998,100.0,134.48239335155827
p-e534408fb9322a57,fafc815a23fc1ef3,mixed-fixed-2500mbps-19s,queue_haul,79,0,292.00602362569,82.44978350596001,0.117450203,2.914724152,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,209.55624011972998,100.0,133.90162525323325
p-7306dd3fbca79608,fafc815a23fc1ef3,mixed-fixed-2500mbps-19s,isolated_fastest,79,0,236.51094475581002,82.63830907412002,0.130335667,2.901847251,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,153.87263568168999,100.0,98.32108071802088
p-1bd14de0c1aa541c,d8d52a492fae31b7,small-fixed-1000mbps-19s,queue_haul_deadline_blind,25,0,111.00544969942999,81.18,0.062507942,2.754421631,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,29.82544969942998,100.0,19.05777745573429
p-a4982b896365f584,d8d52a492fae31b7,small-fixed-1000mbps-19s,isolated_fastest,25,0,170.56822108990002,81.60596228957,0.064726231,2.701886763,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,88.96225880033002,100.0,56.84484047221361
p-028e94bf3bb46bfd,d8d52a492fae31b7,small-fixed-1000mbps-19s,greedy,25,0,116.17321541460001,82.79942621345002,0.090523883,2.714704547,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,33.37378920114999,100.0,21.3250849143864
p-06956c581805fc42,d8d52a492fae31b7,small-fixed-1000mbps-19s,queue_haul,25,0,179.43930502646003,81.65040477376999,0.066691707,2.761096163,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,97.78890025269004,100.0,62.48486166806674
p-0b3ad5c70db85b47,d8d52a492fae31b7,small-fixed-1000mbps-19s,queue_haul_power_blind,25,0,176.82891548308,81.61145929814,0.063956964,2.760672618,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,95.21745618494,100.0,60.84176795860342
p-59520f711de5d00d,ddaf241b4faedf12,large-fixed-5000mbps-19s,queue_haul_power_blind,109,0,283.38069871504996,81.50417586031999,0.00503753,5.901921521,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,201.87652285472996,100.0,128.99446227549856
p-9e22ce6fee0ccf75,ddaf241b4faedf12,large-fixed-5000mbps-19s,queue_haul_deadline_blind,109,0,288.93940148185,81.83840368703,0.003173408,6.496930825,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,207.10099779482,100.0,132.3327817890246
p-79cc62acf8d2cac0,ddaf241b4faedf12,large-fixed-5000mbps-19s,queue_haul,109,0,317.40718848655007,81.84161074971999,0.003740442,5.797766607,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,235.56557773683008,100.0,150.52099472035064
p-a79eb65bb7c77119,ddaf241b4faedf12,large-fixed-5000mbps-19s,greedy,109,0,300.49187433519995,83.90181779564,0.004052008,2.779513726,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,216.59005653955995,100.0,138.39607242316714
p-23015ce47f319c1c,ddaf241b4faedf12,large-fixed-5000mbps-19s,isolated_fastest,109,0,237.77407626746998,82.28515879909001,0.003641403,6.499136329,False,warmup_contaminated_immediate_pre,156.50014682302742,98.31926724347665,155.48891746837995,62.82375399599942,99.3538476639316
p-da9ff60e7181327d,8d6fffe34b15c355,tiny-fixed-1000mbps-19s,isolated_fastest,2,0,115.90451657902,82.75628526461,0.040843472,2.68706872,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,33.14823131441,100.0,21.180958604399574
p-69db36d17349324f,8d6fffe34b15c355,tiny-fixed-1000mbps-19s,queue_haul_deadline_blind,2,0,117.72804558825,83.08534024177,0.039333378,2.696339445,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,34.64270534648,100.0,22.135893192262916
p-9811279c662327aa,8d6fffe34b15c355,tiny-fixed-1000mbps-19s,queue_haul_power_blind,2,0,133.28903930591,81.52279405639999,0.04196997,2.683931812,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,51.76624524951001,100.0,33.07744197074014
p-f74c3d414e7bf592,8d6fffe34b15c355,tiny-fixed-1000mbps-19s,greedy,2,0,121.98816313549999,81.77,0.043198082,2.703111891,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,40.21816313549999,100.0,25.69848268639598
p-b39181a2830b8f0e,8d6fffe34b15c355,tiny-fixed-1000mbps-19s,queue_haul,2,0,119.18315234925,81.90380803694,0.044357691,2.676012833,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,37.27934431230999,100.0,23.8206449444843
p-6fb882fdae7449f1,d797570ee0ad6a26,tiny-fixed-10000mbps-19s,queue_haul,20,0,177.1771604866,81.43999999999998,0.065430244,2.732580062,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,95.73716048660002,100.0,61.17384707303882
p-23f1ceb8769f7d32,d797570ee0ad6a26,tiny-fixed-10000mbps-19s,greedy,20,0,173.53577426711,81.78184923484999,0.064646041,2.726420775,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,91.75392503226003,100.0,58.62865108747576
p-653cb68f84639ae8,d797570ee0ad6a26,tiny-fixed-10000mbps-19s,isolated_fastest,20,0,178.98639117341,81.46900857409999,0.047347061,2.737980176,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,97.51738259931001,100.0,62.31136812260249
p-0de9fc5e0c7fb395,d797570ee0ad6a26,tiny-fixed-10000mbps-19s,queue_haul_power_blind,20,0,174.44724142871002,81.684806738,0.062461954,2.707447521,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,92.76243469071001,100.0,59.27306560012821
p-e9d9f8c1c1b750bb,d797570ee0ad6a26,tiny-fixed-10000mbps-19s,queue_haul_deadline_blind,20,0,122.35286784807,81.68919473414,0.056866452,2.752689172,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,40.66367311393,100.0,25.983153332062404
