sweep,level,bandwidth_cap_gbps,prefill_available_tps,scoring_deadline_s,power_window_s,controller_delay_s,migration_budget_s,plans,target_met_rate,metric,outcome,pack_count,pack_share
bandwidth,0,0.1,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,0,1000,1.0
bandwidth,0,0.1,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,1,0,0.0
bandwidth,0,0.1,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,2,0,0.0
bandwidth,0,0.1,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,3,0,0.0
bandwidth,0,0.1,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,4,0,0.0
bandwidth,0,0.1,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,5,0,0.0
bandwidth,0,0.1,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,6,0,0.0
bandwidth,0,0.1,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,7,0,0.0
bandwidth,0,0.1,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,8,0,0.0
bandwidth,1,0.27619007338542506,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,0,1000,1.0
bandwidth,1,0.27619007338542506,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,1,0,0.0
bandwidth,1,0.27619007338542506,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,2,0,0.0
bandwidth,1,0.27619007338542506,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,3,0,0.0
bandwidth,1,0.27619007338542506,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,4,0,0.0
bandwidth,1,0.27619007338542506,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,5,0,0.0
bandwidth,1,0.27619007338542506,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,6,0,0.0
bandwidth,1,0.27619007338542506,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,7,0,0.0
bandwidth,1,0.27619007338542506,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,8,0,0.0
bandwidth,2,0.45238014677085014,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,0,1000,1.0
bandwidth,2,0.45238014677085014,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,1,0,0.0
bandwidth,2,0.45238014677085014,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,2,0,0.0
bandwidth,2,0.45238014677085014,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,3,0,0.0
bandwidth,2,0.45238014677085014,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,4,0,0.0
bandwidth,2,0.45238014677085014,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,5,0,0.0
bandwidth,2,0.45238014677085014,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,6,0,0.0
bandwidth,2,0.45238014677085014,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,7,0,0.0
bandwidth,2,0.45238014677085014,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,8,0,0.0
bandwidth,3,0.6285702201562753,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,0,1000,1.0
bandwidth,3,0.6285702201562753,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,1,0,0.0
bandwidth,3,0.6285702201562753,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,2,0,0.0
bandwidth,3,0.6285702201562753,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,3,0,0.0
bandwidth,3,0.6285702201562753,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,4,0,0.0
bandwidth,3,0.6285702201562753,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,5,0,0.0
bandwidth,3,0.6285702201562753,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,6,0,0.0
bandwidth,3,0.6285702201562753,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,7,0,0.0
bandwidth,3,0.6285702201562753,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,8,0,0.0
bandwidth,4,0.8047602935417003,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,0,1000,1.0
bandwidth,4,0.8047602935417003,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,1,0,0.0
bandwidth,4,0.8047602935417003,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,2,0,0.0
bandwidth,4,0.8047602935417003,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,3,0,0.0
bandwidth,4,0.8047602935417003,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,4,0,0.0
bandwidth,4,0.8047602935417003,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,5,0,0.0
bandwidth,4,0.8047602935417003,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,6,0,0.0
bandwidth,4,0.8047602935417003,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,7,0,0.0
bandwidth,4,0.8047602935417003,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,8,0,0.0
bandwidth,5,0.9809503669271255,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,0,1000,1.0
bandwidth,5,0.9809503669271255,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,1,0,0.0
bandwidth,5,0.9809503669271255,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,2,0,0.0
bandwidth,5,0.9809503669271255,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,3,0,0.0
bandwidth,5,0.9809503669271255,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,4,0,0.0
bandwidth,5,0.9809503669271255,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,5,0,0.0
bandwidth,5,0.9809503669271255,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,6,0,0.0
bandwidth,5,0.9809503669271255,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,7,0,0.0
bandwidth,5,0.9809503669271255,2671.1881753955604,30,5.0,0,25.0,1000,0.973,kv_transfer_count,8,0,0.0
