phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,298.9325104602511
baseline,1,239,239,1.0,82.93263598326361
drain,0,271,271,1.0,146.60915129151292
drain,1,271,271,1.0,201.40900369003688
post,0,240,240,1.0,132.92816666666664
post,1,240,240,1.0,330.69108333333327
