dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:b759a30c-c03e-8e0e-1900-3ac8dd4c0130,R,10.891342163085938,10.891342163085938,10.891394853591919,2.3603439331054688e-05,3.814697265625e-06
1,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,S,9.339359760284424,9.474024772644043,9.474102258682251,2.002716064453125e-05,2.8371810913085938e-05
2,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,S,9.00588607788086,9.00588607788086,9.005954265594482,3.552436828613281e-05,3.5762786865234375e-06
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,1.6277353763580322,1.6277353763580322,1.6284151077270508,5.53131103515625e-05,9.5367431640625e-06
4,codex:41e93e85-eff7-106f-9736-224049baedb2,R,7.2202308177948,7.434815406799316,7.434868097305298,2.2649765014648438e-05,7.3909759521484375e-06
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,3.4517154693603516,3.8535478115081787,6.509317398071289,2.6557183265686035,2.3126602172851562e-05
6,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,1.1953909397125244,1.1953909397125244,1.1954708099365234,4.029273986816406e-05,5.4836273193359375e-06
7,codex:c55b5430-f5e1-56b7-a298-2db8c6581658,R,2.6917476654052734,2.8627734184265137,2.86285138130188,4.76837158203125e-05,6.67572021484375e-06
8,codex:e6744833-786a-9c87-c539-3a40cda50680,R,2.2498414516448975,2.2498414516448975,2.249884843826294,2.2649765014648438e-05,5.9604644775390625e-06
9,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,2.937786102294922,2.937786102294922,2.937836170196533,1.6689300537109375e-05,4.76837158203125e-06
10,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,5.904462099075317,5.904462099075317,8.267009735107422,2.3624749183654785,4.4345855712890625e-05
11,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,5.017009258270264,5.017009258270264,5.017064809799194,2.8133392333984375e-05,2.384185791015625e-06
12,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,R,2.7505831718444824,2.7505831718444824,2.750661849975586,4.1484832763671875e-05,4.76837158203125e-06
13,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,4.463193416595459,4.812342166900635,4.81376314163208,0.0013172626495361328,1.4066696166992188e-05
