timestamp, uuid, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/10 01:24:16.604, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.03 W, 0 %, 0 MiB
2026/09/10 01:24:17.606, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.90 W, 0 %, 0 MiB
2026/09/10 01:24:18.606, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.91 W, 0 %, 0 MiB
2026/09/10 01:24:19.607, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.83 W, 0 %, 0 MiB
2026/09/10 01:24:20.607, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.61 W, 0 %, 0 MiB
2026/09/10 01:24:21.607, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.95 W, 0 %, 6 MiB
2026/09/10 01:24:22.607, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.69 W, 0 %, 6 MiB
2026/09/10 01:24:23.607, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.78 W, 0 %, 6 MiB
2026/09/10 01:24:24.608, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.88 W, 0 %, 6 MiB
2026/09/10 01:24:25.608, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.02 W, 0 %, 6 MiB
2026/09/10 01:24:26.608, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.91 W, 0 %, 6 MiB
2026/09/10 01:24:27.608, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.99 W, 0 %, 6 MiB
2026/09/10 01:24:28.608, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.01 W, 0 %, 6 MiB
2026/09/10 01:24:29.609, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.80 W, 0 %, 6 MiB
2026/09/10 01:24:30.609, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.01 W, 0 %, 6 MiB
2026/09/10 01:24:31.609, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.96 W, 0 %, 6 MiB
2026/09/10 01:24:32.609, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.90 W, 0 %, 6 MiB
2026/09/10 01:24:33.609, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.02 W, 0 %, 6 MiB
2026/09/10 01:24:34.610, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.80 W, 0 %, 6 MiB
2026/09/10 01:24:35.610, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.82 W, 0 %, 6 MiB
2026/09/10 01:24:36.610, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.85 W, 0 %, 6 MiB
2026/09/10 01:24:37.610, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.72 W, 0 %, 6 MiB
2026/09/10 01:24:38.610, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.91 W, 0 %, 6 MiB
2026/09/10 01:24:39.611, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.06 W, 0 %, 6 MiB
2026/09/10 01:24:40.611, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.10 W, 0 %, 6 MiB
2026/09/10 01:24:41.611, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.60 W, 0 %, 6 MiB
2026/09/10 01:24:42.611, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.90 W, 0 %, 6 MiB
2026/09/10 01:24:43.611, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.70 W, 0 %, 6 MiB
2026/09/10 01:24:44.612, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.19 W, 0 %, 6 MiB
2026/09/10 01:24:45.612, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.90 W, 0 %, 6 MiB
2026/09/10 01:24:46.612, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.00 W, 0 %, 6 MiB
2026/09/10 01:24:47.612, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.22 W, 0 %, 6 MiB
2026/09/10 01:24:48.612, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.91 W, 0 %, 6 MiB
2026/09/10 01:24:49.613, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.07 W, 0 %, 6 MiB
2026/09/10 01:24:50.613, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.82 W, 0 %, 6 MiB
