dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,3.4876792430877686,3.736170530319214,5.245717287063599,1.5094726085662842,2.9802322387695312e-05
1,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,4.219007968902588,4.219007968902588,4.600413799285889,0.38134336471557617,1.6450881958007812e-05
2,codex:1db326cd-3c43-ad82-b907-27bc1f12c287,R,5.8498265743255615,5.8498265743255615,6.9359290599823,1.0860557556152344,1.5497207641601562e-05
3,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,5.805046319961548,6.152041912078857,6.23435640335083,0.08225202560424805,2.193450927734375e-05
4,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,8.471917152404785,8.624445915222168,11.755669593811035,3.1311802864074707,1.7642974853515625e-05
5,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,6.814965486526489,7.02550196647644,9.379265546798706,2.3536665439605713,1.8596649169921875e-05
6,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,R,4.437933683395386,4.437933683395386,5.205866575241089,0.7677781581878662,5.745887756347656e-05
7,codex:e6744833-786a-9c87-c539-3a40cda50680,R,4.9434309005737305,4.9434309005737305,5.732802152633667,0.789294958114624,2.384185791015625e-05
