scenario_id,session_id,order,method,destination,policy,bandwidth,bandwidth_mbps,workload,scheduler_wait_s,migration_ttft_s
00f3490cd9dff0a8,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,0,kv_transfer,west,greedy_lagrangian,controlled_80,7400,agentic_tool_loop,0.000438242,4.068017621
00f3490cd9dff0a8,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,1,kv_transfer,west,greedy_lagrangian,controlled_80,7400,agentic_tool_loop,0.001140157,6.244501597
00f3490cd9dff0a8,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,2,kv_transfer,west,greedy_lagrangian,controlled_80,7400,agentic_tool_loop,0.001869332,11.419565463
00f3490cd9dff0a8,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,3,kv_transfer,west,greedy_lagrangian,controlled_80,7400,agentic_tool_loop,0.002363419,5.20994751
00f3490cd9dff0a8,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,4,kv_transfer,west,greedy_lagrangian,controlled_80,7400,agentic_tool_loop,0.002835329,8.879994349
00f3490cd9dff0a8,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,5,kv_transfer,west,greedy_lagrangian,controlled_80,7400,agentic_tool_loop,0.003521553,7.635580648
00f3490cd9dff0a8,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,6,kv_transfer,west,greedy_lagrangian,controlled_80,7400,agentic_tool_loop,0.004324186,14.425143051
00f3490cd9dff0a8,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,7,kv_transfer,west,greedy_lagrangian,controlled_80,7400,agentic_tool_loop,0.00499428,17.039801292
01d03e458e063fe9,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,0,kv_transfer,west,kv_only,controlled_80,7400,agentic_tool_loop,0.001071752,12.413041484
01d03e458e063fe9,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,1,kv_transfer,west,kv_only,controlled_80,7400,agentic_tool_loop,0.001324709,9.926976347
01d03e458e063fe9,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,2,kv_transfer,west,kv_only,controlled_80,7400,agentic_tool_loop,0.001890113,7.440572163
01d03e458e063fe9,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,3,kv_transfer,east,kv_only,controlled_80,1700,agentic_tool_loop,0.002410387,8.338617588
01d03e458e063fe9,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,4,kv_transfer,east,kv_only,controlled_80,1700,agentic_tool_loop,0.003124864,16.234827404
01d03e458e063fe9,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,5,kv_transfer,west,kv_only,controlled_80,7400,agentic_tool_loop,0.003912212,18.034940832
01d03e458e063fe9,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,7,kv_transfer,west,kv_only,controlled_80,7400,agentic_tool_loop,0.004435984,15.088851307
01d03e458e063fe9,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,9,kv_transfer,west,kv_only,controlled_80,7400,agentic_tool_loop,0.004847641,4.354163061
