policy,release_policy,release_seed,workload_seed,drain_window_s,deadline_scale,max_safe_retained_prefill_fraction,frontier_censored_by_search,first_unsafe_retained_prefill_fraction,first_unsafe_failure_mode,absolute_p95_delay_over_deadline_at_frontier,absolute_deadline_miss_rate_at_frontier,p95_delay_over_deadline_at_frontier,deadline_miss_rate_at_frontier,network_capacity_pressure_at_frontier,prefill_capacity_pressure_at_frontier,average_equivalent_state_target_tb_at_frontier,actual_evacuated_state_tb_at_frontier,actual_evacuated_nvl72_hbm_fraction_at_frontier,replay_retained_prefill_fraction_at_frontier,state_transfer_retained_prefill_fraction_at_frontier,drain_completion_s_at_frontier
deadline-penalty-rounded,edf,,0,10.0,1.0,0.03,False,0.0312,absolute_deadline_miss,0.5435218464933095,0.0,0.5435218464933095,0.0,0.9779475844198418,0.9848919764763983,0.14903319935999998,0.1490872832,0.011125916656716419,0.7713800555727076,0.22861994442729233,9.84893380881182
deadline-penalty-rounded,edf,,0,12.5,1.0,0.0391,False,0.04,absolute_deadline_miss,0.6220453970892748,0.0,0.6220453970892748,0.0,0.9337392090796298,1.0546528833862923,0.19423993649920002,0.1946557952,0.014526551880597014,0.7046583116576023,0.29534168834239777,13.183204949051488
deadline-penalty-rounded,edf,,0,16.0,1.0,0.0469,False,0.05,absolute_deadline_miss,0.7161962834381795,0.0,0.7161962834381795,0.0,0.7294899436023428,1.0865551930443031,0.2329885683328,0.2332279296,0.017405069373134328,0.7535030590092757,0.24649694099072428,17.384897132756688
deadline-penalty-rounded,edf,,0,20.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.6723970571703379,0.0,0.6723970571703379,0.0,0.08148471340204963,0.635562477041007,0.1162458955008,0.1172123392,0.008747189492537314,0.9844885136461811,0.015511486353818967,12.711261153878382
deadline-penalty-rounded,edf,,0,25.0,1.0,0.0703,False,0.0781,absolute_deadline_miss,0.7267420250205407,0.0,0.7267420250205407,0.0,0.8638220602049453,0.9780561023104272,0.3492344638336,0.3496577792,0.026093864119402985,0.6929507009807148,0.3070492990192852,33.335484650070235
deadline-penalty-rounded,edf,,0,32.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.7814490432257264,0.0,0.7814490432257264,0.0,0.009951434898684532,0.45189702415575833,0.1162458955008,0.1171663104,0.008743754507462686,0.9927322726379886,0.007267727362011392,14.46071638604251
deadline-penalty-rounded,edf,,0,40.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.007961590580053395,0.3792446693571212,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,50.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.006369272464042715,0.303395735485697,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,63.0,1.0,0.1328,False,0.14,absolute_deadline_miss,0.7084310899928989,0.008695652173913044,0.7084310899928989,0.008695652173913044,0.6253212623327943,0.9376458902459388,0.6597202958336001,0.6603751936,0.04928173086567164,0.8286749843172788,0.17132501568272115,59.07170512954198
deadline-penalty-rounded,edf,,0,80.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.003980795290026698,0.1896223346785606,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,100.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.0031846362320213577,0.1516978677428485,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,125.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.0025477089856170863,0.12135829419427878,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,160.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.001990397645013349,0.0948111673392803,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,200.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.0015923181160106788,0.07584893387142425,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,250.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.0012738544928085432,0.06067914709713939,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,300.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.0010615454106737859,0.050565955914282826,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,400.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.0007961590580053394,0.03792446693571212,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,500.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.0006369272464042716,0.030339573548569695,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,600.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.7814490432257264,0.0,0.7814490432257264,0.0,0.0005307431945965084,0.024101174621640443,0.1162458955008,0.1171663104,0.008743754507462686,0.9927322726379886,0.007267727362011392,14.46071638604251
deadline-penalty-rounded,edf,,0,800.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.0003980795290026697,0.01896223346785606,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,1000.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.0003184636232021358,0.015169786774284847,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,1200.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.7814490432257264,0.0,0.7814490432257264,0.0,0.0002653715972982542,0.012050587310820222,0.1162458955008,0.1171663104,0.008743754507462686,0.9927322726379886,0.007267727362011392,14.46071638604251
deadline-penalty-rounded,edf,,0,1600.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.00019903976450133485,0.00948111673392803,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,2000.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.0001592318116010679,0.007584893387142424,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
deadline-penalty-rounded,edf,,0,2400.0,1.0,0.0234,False,0.03,absolute_deadline_miss,0.8201969465115841,0.0,0.8201969465115841,0.0,0.00013269317633422324,0.006320744489285353,0.1162458955008,0.1169591808,0.008728297074626865,0.9927194018103109,0.007280598189689099,15.169798387343091
