workload,seed,axis,solver,methods,arrival,service,kv,bandwidth_gbps,migration_s,source_replicas,sink_replicas,sessions,sessions_landed,all_sessions_landed,initial_source_w,source_w_shed,power_shortfall_w,replay_moves,kv_moves,mode,failure,bottleneck,migration_makespan_s,packing_repairs,runtime_s,evidence_status,extrapolation_reasons,in_domain_fraction
coding,0,reference,lp,replay+kv_transfer,1,0,0,10,115,179,179,10000,7746,False,19876.887842638924,7215.45215427728,311.27848347060717,7646,100,emergency,target_unmet,source:source-9,114.98565679447485,0,19.786514583043754,unsupported_extrapolation,context,0.3386263878130648
coding,0,reference,greedy,replay+kv_transfer,1,0,0,10,115,179,179,10000,7731,False,19876.887842638924,7204.3585225812985,322.3721151665886,7713,18,emergency,target_unmet,source:source-59,114.96339741279229,0,13.112255416810513,unsupported_extrapolation,context,0.33980080196611046
