network_bandwidth_scale,drain_window_s,max_safe_source_prefill_fraction,source_prefill_removal_rate_s_per_s,request_migration_fraction,p95_delay_over_deadline,deadline_miss_rate,max_network_queue_depth,max_prefill_queue_depth,network_capacity_pressure,prefill_capacity_pressure,drain_completion_s,deadline_overrun_max,replay_source_prefill_fraction,state_transfer_source_prefill_fraction
0.6,1800.0,0.4,0.27844712182061576,0.163,0.08904803690748257,0.006134969325153374,0.0,0.0,0.0001607117888374215,0.9536848799223445,1789.8194783477636,0.719913282107241,1.0,0.0
0.8,1800.0,0.5,0.3480503346720214,0.249,0.18294157416884593,0.004016064257028112,1.0,0.0,1.0078027548586304,1.0030241730509102,1793.6334670988565,1.465142986047188,0.8383221740842852,0.16167782591571475
1.0,1800.0,0.5,0.3480503346720214,0.246,0.14635325933507407,0.0040650406504065045,0.0,0.0,0.9565339717072984,1.0188629153522892,1792.6857309823645,1.4080433271371127,0.8361559669161088,0.16384403308389123
1.25,1800.0,0.5,0.3480503346720214,0.236,0.11708260746805925,0.00423728813559322,0.0,0.0,0.9329608306127087,0.9888188496353718,1792.375685467018,1.2723905902300814,0.8235033477747146,0.17649665222528552
1.5,1800.0,0.5,0.3480503346720214,0.241,0.09756883955671604,0.0,0.0,0.0,0.8900869805596614,0.9848842269434017,1792.5339244150293,1.1631160379400343,0.8065183142969674,0.19348168570303265
2.0,1800.0,0.6,0.41767068273092367,0.313,0.08904284890850903,0.003194888178913738,0.0,0.0,0.9768766627195515,0.9848842269434017,1794.252005326026,1.448242926176567,0.6865230769230767,0.31347692307692343
