policy,source_prefill_fraction,deadline_scale,status,safe,rounded_source_prefill_moved_s,rounded_source_prefill_target_s,rounded_source_prefill_ratio,mean_delay,p50_delay,p95_delay,p99_delay,p95_normalized_delay,miss_rate,drain_window_s,source_prefill_removal_rate_s_per_s,drain_completion_s,network_capacity_pressure,prefill_capacity_pressure,replay_source_prefill_fraction,state_transfer_source_prefill_fraction,repair_move_count,repair_move_summary
CVXPY-rounded,0.2,0.25,OK,False,250.60240963855424,250.59624096385548,1.0000246159905473,0.9193714251798759,0.42751615775864593,2.4581267997523355,2.6784444632352034,0.4149470590755468,0.023255813953488372,1800.0,0.1392235609103079,1758.142339036817,2.0542130752346417e-05,0.4113207314527204,1.0,0.0,0,
repaired-CVXPY-rounded,0.2,0.25,OK,False,250.60240963855424,250.59624096385548,1.0000246159905473,0.9193714251798759,0.42751615775864593,2.4581267997523355,2.6784444632352034,0.4149470590755468,0.023255813953488372,1800.0,0.1392235609103079,1758.142339036817,2.0542130752346417e-05,0.4113207314527204,1.0,0.0,0,
deadline-aware-m0.8-rounded,0.2,0.25,OK,False,250.6024096385542,250.59624096385548,1.0000246159905473,1.9226094995821514,0.5157003293265916,6.65660468704268,9.984651203652529,0.40911402490021676,0.015384615384615385,1800.0,0.13922356091030788,1772.4623835883024,0.4829841842945464,0.40402287758243544,0.7606153846153846,0.23938461538461545,0,
deadline-aware-m1.0-rounded,0.2,0.25,OK,True,250.6024096385542,250.59624096385548,1.0000246159905473,2.024371699200087,0.7714198904918703,6.617523004329329,9.95482654449685,0.4188907616101727,0.0,1800.0,0.13922356091030788,1773.1839347469445,0.5221753035211817,0.4147616010166656,0.7263999999999999,0.2736000000000001,0,
mirror-descent-rounded,0.2,0.25,OK,False,250.66409638554217,250.59624096385548,1.0002707758960219,1.0068123418388906,0.42751615775864593,2.5151055058254905,2.83798484024004,0.5427985984874696,0.05263157894736842,1800.0,0.1392578313253012,1752.6343831004644,1.95888630263485e-05,0.3922331897047472,1.0,0.0,0,
crossover-greedy,0.2,0.25,OK,False,250.66409638554217,250.59624096385548,1.0002707758960219,1.0068123418388906,0.42751615775864593,2.5151055058254905,2.83798484024004,0.5427985984874696,0.05263157894736842,1800.0,0.1392578313253012,1752.6343831004644,1.95888630263485e-05,0.3922331897047472,1.0,0.0,0,
mixed-greedy,0.2,0.25,OK,False,250.66409638554217,250.59624096385548,1.0002707758960219,1.0068123418388906,0.42751615775864593,2.5151055058254905,2.83798484024004,0.5427985984874696,0.05263157894736842,1800.0,0.1392578313253012,1752.6343831004644,1.95888630263485e-05,0.3922331897047472,1.0,0.0,0,
replay-only,0.2,0.25,OK,False,250.66409638554217,250.59624096385548,1.0002707758960219,1.0068123418388906,0.42751615775864593,2.5151055058254905,2.83798484024004,0.5427985984874696,0.05263157894736842,1800.0,0.1392578313253012,1752.6343831004644,1.95888630263485e-05,0.3922331897047472,1.0,0.0,0,
state-only,0.2,0.25,INFEASIBLE,False,nan,250.59624096385548,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.3,0.25,OK,False,375.9190361445783,375.8943614457832,1.0000656426414596,1.4052734036342382,0.862358538587614,3.285644068799229,3.285644068799229,0.7558844975073418,0.05660377358490566,1800.0,0.20884390896921015,1766.9000943876442,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
