policy,deadline_scale,max_safe_source_load_fraction,p95_delay_at_frontier,p95_delay_over_deadline_at_frontier,deadline_miss_rate_at_frontier,max_network_busy_fraction_at_frontier,max_prefill_busy_fraction_at_frontier,replay_load_fraction_at_frontier,state_transfer_load_fraction_at_frontier
CVXPY-rounded,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
CVXPY-rounded,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
CVXPY-rounded,1.0,0.2,24.042535606300337,0.4134554161328176,0.0,2.0542130752346417e-05,0.4113207314527204,1.0,0.0
CVXPY-rounded,2.0,0.3,29.98770192771119,0.26241369009037063,0.0,4.8105921947365396e-05,0.6421587335525915,1.0,0.0
deadline-penalty-rounded,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
deadline-penalty-rounded,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
deadline-penalty-rounded,1.0,0.2,24.042535606300337,0.4134554161328176,0.0,2.0542130752346417e-05,0.4113207314527204,1.0,0.0
deadline-penalty-rounded,2.0,0.4,50.12244837954026,0.853740049574625,0.0,9.994205450972255e-05,0.9537316123064264,1.0,0.0
deadline-aware-m0.8-rounded,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
deadline-aware-m0.8-rounded,0.5,0.2,38.934799032814446,0.7372608339480908,0.0,0.7890722932934976,0.3715789308770408,0.5750153846153845,0.42498461538461546
deadline-aware-m0.8-rounded,1.0,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
