policy,shed_fraction,slack_multiplier,status,safe,failure_mode,rounded_shed_achieved,rounded_shed_target,rounded_shed_ratio,mean_delay,p50_delay,p95_delay,p99_delay,p95_normalized_delay,miss_rate,max_net_busy,max_prefill_busy,replay_shed_frac,state_shed_frac,fractional_max_net_busy_proxy,fractional_max_prefill_busy_proxy,objective
CVXPY-rounded,0.2,0.25,UNSAFE,False,slack misses,250.6024096385542,250.59624096385548,1.0000246159905473,10.846728537755288,10.384900467600737,19.552902380119,22.999686097429258,0.8784930022109586,0.047619047619047616,2.8717317334467128e-05,0.3833431599275117,1.0,0.0,2.7137453174616117e-05,0.36183767158487257,5.809777789437617
deadline-aware-m0.8-rounded,0.2,0.25,UNSAFE,False,slack misses,250.6024096385542,250.59624096385548,1.0000246159905473,11.790848420557566,11.112016741974056,27.941472133560573,29.459633196442155,1.018857068898609,0.06153846153846154,0.4829841842945464,0.40402287758243544,0.7606153846153846,0.23938461538461545,0.4082303474263412,0.3694533284194784,250.59624096489256
deadline-aware-m1.0-rounded,0.2,0.25,UNSAFE,False,slack misses,250.6024096385542,250.59624096385548,1.0000246159905473,12.450116727745412,10.163214017497248,31.134117066279437,35.609050584160705,1.1679072340962977,0.1044776119402985,0.5221753035211817,0.4147616010166656,0.7263999999999999,0.2736000000000001,0.5092240547805976,0.4133506643540065,250.59624096389476
mirror-descent-rounded,0.2,0.25,UNSAFE,False,slack misses,250.6024096385542,250.59624096385548,1.0000246159905473,11.496324637825408,11.00784075141446,23.16230166855137,28.287522471132096,1.0134357693792715,0.075,3.6917764045413775e-05,0.4928096925558385,1.0,0.0,2.7649691580488554e-05,0.3601401716736565,5.8115364262204485
crossover-greedy,0.2,0.25,UNSAFE,False,slack misses,250.60240963855424,250.59624096385548,1.0000246159905473,11.81718305742081,10.7940933474824,26.94050931147946,31.671482360015524,1.0821749069970896,0.10810810810810811,4.101973782823753e-05,0.5475663250620427,1.0,0.0,4.102323868293839e-05,0.5476130574461244,5.869358221022166
mixed-greedy,0.2,0.25,UNSAFE,False,slack misses,250.60240963855424,250.59624096385548,1.0000246159905473,11.81718305742081,10.7940933474824,26.94050931147946,31.671482360015524,1.0821749069970896,0.10810810810810811,4.101973782823753e-05,0.5475663250620427,1.0,0.0,4.102323868293839e-05,0.5476130574461244,5.869358221022166
replay-only,0.2,0.25,UNSAFE,False,slack misses,250.60240963855424,250.59624096385548,1.0000246159905473,11.81718305742081,10.7940933474824,26.94050931147946,31.671482360015524,1.0821749069970896,0.10810810810810811,4.101973782823753e-05,0.5475663250620427,1.0,0.0,4.102323868293839e-05,0.5476130574461244,5.869358221022166
state-only,0.2,0.25,INFEASIBLE,False,infeasible,nan,250.59624096385548,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
local-repair-oracle,0.2,0.25,UNSAFE,False,slack misses,250.6024096385542,250.59624096385548,1.0000246159905473,9.113639940054844,9.725356327822102,14.211224074705216,18.90480321163876,0.7755268410882195,0.047619047619047616,0.23595828494320797,0.3375299716578708,0.884676923076923,0.11532307692307692,0.235958284943208,0.33752997165787074,nan
CVXPY-rounded,0.3,0.25,UNSAFE,False,slack misses,375.9190361445783,375.8943614457832,1.0000656426414596,19.12633035923253,21.03667781128009,28.182612868207443,36.22995803341847,1.475019671405977,0.5492957746478874,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,4.8149340141950104e-05,0.6422054853196729,9.28286776405262
deadline-aware-m0.8-rounded,0.3,0.25,INFEASIBLE,False,infeasible,nan,375.8943614457832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,307.7642497242806
deadline-aware-m1.0-rounded,0.3,0.25,INFEASIBLE,False,infeasible,nan,375.8943614457832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,331.8771258310614
mirror-descent-rounded,0.3,0.25,UNSAFE,False,slack misses,375.9190361445783,375.8943614457832,1.0000656426414596,19.677752872386037,21.277547735870225,27.79147077051085,35.69269336915428,2.0298090081854303,0.5466666666666666,4.630802750855972e-05,0.5949092616913989,1.0,0.0,4.810942280206625e-05,0.642205465936673,9.282866946201533
crossover-greedy,0.3,0.25,UNSAFE,False,slack misses,375.9190361445783,375.8943614457832,1.0000656426414596,20.188202654721046,21.160569129756936,39.90548802548713,48.77679151668391,1.8878135826010285,0.6133333333333333,6.090244234413589e-05,0.812977564150226,1.0,0.0,5.190361646438124e-05,0.6928535877980794,9.329401800884892
