policy,shed_fraction,slack_multiplier,status,group_type,group,moved_requests,missed_requests,miss_rate,avg_missed_network_wait,avg_missed_prefill_wait,avg_missed_total_delay
CVXPY-rounded,0.2,0.25,OK,class,class0,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class1,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class2,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class4,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class5,21,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class6,5,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class7,1,1,1.0,0.0,0.0,1.124194636776023
CVXPY-rounded,0.2,0.25,OK,class,class8,7,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class9,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class10,2,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class11,3,1,0.3333333333333333,0.00024551468753165277,4.915762570129584,7.3741348845694406
CVXPY-rounded,0.2,0.25,OK,destination,k0,9,1,0.1111111111111111,0.0,0.0,1.124194636776023
CVXPY-rounded,0.2,0.25,OK,destination,k1,8,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,destination,k2,25,1,0.04,0.00024551468753165277,4.915762570129584,7.3741348845694406
CVXPY-rounded,0.2,0.25,OK,action,replay,42,2,0.047619047619047616,0.00012275734376582638,2.457881285064792,4.249164760672731
CVXPY-rounded,0.2,0.25,OK,action,state,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class0,1,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class1,1,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class2,1,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class4,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class5,21,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class6,5,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class7,1,1,1.0,0.0,0.0,1.124194636776023
repaired-CVXPY-rounded,0.2,0.25,OK,class,class8,7,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class9,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class10,2,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class11,3,1,0.3333333333333333,0.00024551468753165277,4.915762570129584,7.3741348845694406
repaired-CVXPY-rounded,0.2,0.25,OK,destination,k0,10,1,0.1,0.0,0.0,1.124194636776023
repaired-CVXPY-rounded,0.2,0.25,OK,destination,k1,10,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,destination,k2,22,1,0.045454545454545456,0.00024551468753165277,4.915762570129584,7.3741348845694406
repaired-CVXPY-rounded,0.2,0.25,OK,action,replay,35,2,0.05714285714285714,0.00012275734376582638,2.457881285064792,4.249164760672731
repaired-CVXPY-rounded,0.2,0.25,OK,action,state,7,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class0,1,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class1,18,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class2,6,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class4,2,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class5,21,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class6,5,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class7,0,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class8,8,2,0.25,13.887626987349407,11.498031411808505,28.671302467957137
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class9,1,1,1.0,0.46755350790293715,0.0,3.3055383481429703
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class10,1,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class11,2,1,0.5,3.06729181175495,2.457881285064792,7.983299896572066
deadline-aware-m0.8-rounded,0.2,0.25,OK,destination,k0,14,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,destination,k1,16,3,0.1875,9.414269160867251,7.665354274539003,20.216047761352414
