model,regime,policy,objective,objective_gap_to_cvx,relative_gap_to_cvx,source_prefill_moved_s,source_prefill_target_s,source_prefill_shortfall_s,excess_source_prefill_s,max_net_util,max_prefill_util,capacity_feasible,alpha,eta_x0,bisection_iterations,active_classes_moved,active_destinations_used,destination_entropy,action_entropy,replay_frac,state_frac,stay_frac,replay_source_prefill_frac,state_transfer_source_prefill_frac,replay_demand_over_capacity,state_bytes_over_capacity,deadline_overrun_mean,deadline_overrun_p95,deadline_overrun_max,deadline_load_max,feasible
DeepSeek-V4-Pro,bandwidth-spread,CVXPY,6.882659464,0,0,299.2732087,299.2732086,0,4.124314046e-08,0.5438620913,0.500003837,True,nan,nan,nan,12,3,0.002544887142,0.004033543077,0.0009999993072,0.7860171977,0.212982803,0.0003077006934,0.9996922993,1.039143086,0.2473452627,nan,nan,nan,nan,True
DeepSeek-V4-Pro,bandwidth-spread,mirror-descent-best,6.882659434,0,0,299.2732086,299.2732086,5.684341886e-14,0,0.5438620912,0.5000038369,True,0.01635742188,10,16,7,2,0.002544876367,0.00403353361,0.001,0.7860172043,0.2129827957,0.0003076998818,0.9996923001,1.039143086,0.2473452627,nan,nan,nan,nan,True
DeepSeek-V4-Pro,bandwidth-spread,replay-only,17.13225194,10.24959247,1.489190701,299.2732086,299.2732086,5.684341886e-14,0,0.5000545288,0.6532397205,True,nan,nan,nan,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,1.039143086,0.2473452627,nan,nan,nan,nan,True
DeepSeek-V4-Pro,bandwidth-spread,state-only,6.883410774,0.0007513104594,0.0001091599059,299.2732086,299.2732086,5.684341886e-14,0,0.5438779986,0.5,True,nan,nan,nan,6,1,0,0,0,0.7860709677,0.2139290323,0,1,1.039143086,0.2473452627,nan,nan,nan,nan,True
DeepSeek-V4-Pro,prefill-spread,CVXPY,13.43597929,0,0,299.2732086,299.2732086,0,1.512381687e-08,0.5819578967,0.8324659833,True,nan,nan,nan,12,3,0.8891619859,0.9997264988,0.03799999911,0.1059311843,0.8560688166,0.5097356205,0.4902643795,1.039143086,0.3660709888,nan,nan,nan,nan,True
DeepSeek-V4-Pro,prefill-spread,mirror-descent-best,13.43597926,0,0,299.2732086,299.2732086,5.684341886e-14,0,0.5819578967,0.8324659834,True,0.0442199707,10,16,10,3,0.8891619841,0.9997264986,0.038,0.1059311828,0.8560688172,0.5097356243,0.4902643757,1.039143086,0.3660709888,nan,nan,nan,nan,True
DeepSeek-V4-Pro,prefill-spread,replay-only,17.70085272,4.264873429,0.3174218518,299.2732086,299.2732086,5.684341886e-14,0,0.5000218115,0.8397836347,True,nan,nan,nan,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,1.039143086,0.3660709888,nan,nan,nan,nan,True
DeepSeek-V4-Pro,prefill-spread,state-only,14.72133484,1.28535555,0.09566519279,299.2732086,299.2732086,0,0,0.6043542954,0.8,True,nan,nan,nan,8,3,0.7927138821,0,0,0.1609419355,0.8390580645,0,1,1.039143086,0.3660709888,nan,nan,nan,nan,True
DeepSeek-V4-Pro,background-load-spread,CVXPY,13.79133682,0,0,299.2732087,299.2732086,0,5.764064781e-08,0.8012628773,0.8064761214,True,nan,nan,nan,12,3,0.8845312659,0.9942676559,0.03199998481,0.09165165399,0.8763483612,0.4554573641,0.5445426359,1.039143086,0.3660709888,nan,nan,nan,nan,True
DeepSeek-V4-Pro,background-load-spread,mirror-descent-best,13.79133667,0,0,299.2732086,299.2732086,5.684341886e-14,0,0.8012628748,0.8064761202,True,0.0442199707,10,16,9,3,0.8845312517,0.9942676562,0.032,0.0916516129,0.8763483871,0.4554573651,0.5445426349,1.039143086,0.3660709888,nan,nan,nan,nan,True
