phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,297.03510460251044
baseline,1,239,239,1.0,83.07297071129706
drain,0,61,61,1.0,234.84540983606564
drain,1,61,61,1.0,340.59672131147545
post,0,240,240,1.0,139.62791666666666
post,1,240,240,1.0,289.7790833333334
