dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,S,34.96808648109436,34.96808648109436,34.968164920806885,2.86102294921875e-05,5.7220458984375e-06
1,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,S,36.79627776145935,37.020249128341675,37.174131870269775,0.15377140045166016,1.0967254638671875e-05
2,codex:e6744833-786a-9c87-c539-3a40cda50680,S,33.800939083099365,33.800939083099365,34.66144824028015,0.8604605197906494,1.33514404296875e-05
3,codex:e717fd54-aecf-8710-559b-8d23833866c4,S,35.51186561584473,35.51186561584473,37.8711416721344,2.3592023849487305,2.2649765014648438e-05
4,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,S,35.684067726135254,35.779892683029175,38.44499683380127,2.665015697479248,1.2636184692382812e-05
5,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,S,32.69815468788147,32.69815468788147,32.698286294937134,4.7206878662109375e-05,8.821487426757812e-06
6,codex:1db326cd-3c43-ad82-b907-27bc1f12c287,S,32.69374418258667,32.69374418258667,32.69389462471008,6.29425048828125e-05,6.4373016357421875e-06
7,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,S,33.29942750930786,33.29942750930786,33.299529790878296,2.6941299438476562e-05,6.4373016357421875e-06
