offered_rps,realized_rps_median,p90_ttft_s_median,p90_ttft_s_ci_low,p90_ttft_s_ci_high,p90_ttft_s_ci_block5_low,p90_ttft_s_ci_block5_high,p90_ttft_s_ci_block10_low,p90_ttft_s_ci_block10_high,p90_tpot_s_median,p90_tpot_s_ci_low,p90_tpot_s_ci_high,p90_tpot_s_ci_block5_low,p90_tpot_s_ci_block5_high,p90_tpot_s_ci_block10_low,p90_tpot_s_ci_block10_high
0.5,0.44781603433163986,0.3870509449,0.2685593113,0.431228698,0.2685593113,0.431228698,0.2729244867,0.4130126449,0.009931331230400782,0.00901450168396872,0.010510592086999023,0.009199943220332355,0.010510592086999023,0.00901450168396872,0.010510592086999023
1.0,1.0316570929389532,0.4172089879000001,0.275189134,0.505630179,0.2753713364,0.505630179,0.275189134,0.505630179,0.016902315402639295,0.015509881687096773,0.01730284727370479,0.015641023187683286,0.01730284727370479,0.015509881687096773,0.01730284727370479
2.0,1.8217819336654077,0.45050149370000003,0.3847847774,0.629421968,0.3847847774,0.629421968,0.386670657,0.629421968,0.023540568446725318,0.021492216255131966,0.023892943350928644,0.022203844277223852,0.023892943350928644,0.021492216255131966,0.023892943350928644
3.0,2.6600239525048828,0.7535959699,0.5376761489,1.084015669,0.5376761489,1.084015669,0.5376761489,1.084015669,0.02778491045796676,0.02537222816617791,0.02821793258553275,0.026342805664711633,0.02821793258553275,0.02537222816617791,0.02821793258553275
4.0,3.8386758813631,1.1505235792000001,0.7762312585000001,1.2089506419000002,0.7838420402000004,1.2089506419000002,0.7762312585000001,1.196224912,0.030598923862072337,0.026706631716129033,0.031189126007820138,0.028039163139784946,0.031189126007820138,0.026706631716129033,0.031189126007820138
5.0,4.702280969314998,1.8997491954,1.7028659442,2.0957659721,1.7028659442,2.0957659721,1.7159785743,2.086952503,0.030924887713587486,0.026450057699965796,0.03179622228445748,0.027814246610361682,0.03179622228445748,0.026450057699965796,0.03179622228445748
6.0,5.841872199024809,3.4321431899000006,1.7875167264,3.811080813,1.971936094,3.811080813,1.7875167264,3.811080813,0.030716366086803518,0.026346293726979473,0.03135194944281525,0.027734669928445747,0.03135194944281525,0.026346293726979473,0.03135194944281525
7.0,6.636513160772816,4.6421787653,3.014868519,5.108761279,3.113689058,5.108761279,3.014868519,5.108761279,0.030891024400391008,0.026782521882209188,0.03180560452981427,0.027748160080156403,0.03180560452981427,0.026782521882209188,0.03180560452981427
8.0,8.692677285213346,6.2396346957999995,3.2647665209000003,6.548574272,3.937224473,6.548574272,3.2647665209000003,6.548574272,0.030541580131867058,0.02624157482013685,0.031403587343108504,0.027649202160312806,0.031403587343108504,0.02624157482013685,0.031403587343108504
10.0,11.600562548589178,7.4640642204,4.7096829221,8.010639139,5.286063113400001,8.010639139,4.7096829221,8.010639139,0.030711670839589443,0.02665033592033236,0.03157628405669599,0.027840807506744874,0.03157628405669599,0.02665033592033236,0.03157628405669599
12.0,12.917837855735279,8.0481737378,4.8598766987,8.520085983,5.761572649,8.520085983,4.8598766987,8.520085983,0.030743000993255134,0.02660061288739003,0.03158705179472141,0.02775479025513197,0.03158705179472141,0.02660061288739003,0.03158705179472141
14.0,15.223774424937472,8.466538549000001,5.0967792319,9.008489814,6.002698399400001,9.008489814,5.0967792319,9.008489814,0.03046487999188661,0.026308998637341152,0.03130225341935484,0.02765107644565005,0.03130225341935484,0.026308998637341152,0.03130225341935484
16.0,16.53194453303186,8.577345293499999,5.021753056200001,9.247838903,5.663088177600003,9.247838903,5.021753056200001,9.247838903,0.030615789573216035,0.02634429585532747,0.03143278364125122,0.027633980480547413,0.03143278364125122,0.02634429585532747,0.03143278364125122
20.0,13.20683530714909,8.063386876400001,4.6644396938,8.374821751,5.5200212372,8.374821751,4.6644396938,8.374821751,0.030476602499511243,0.02639335543304008,0.03131693914173998,0.027545282834613886,0.03131693914173998,0.02639335543304008,0.03131693914173998
24.0,21.73204336861654,9.2359035399,5.312908586,9.860185374,6.4390309384,9.860185374,5.312908586,9.860185374,0.03032584985259042,0.02630445744633431,0.0311498360742913,0.02747054013186706,0.0311498360742913,0.02630445744633431,0.0311498360742913
