phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,298.519875
baseline,1,240,240,1.0,82.45733333333332
drain,0,276,276,1.0,105.24268115942029
drain,1,276,276,1.0,271.82213768115946
post,0,240,240,1.0,100.507875
post,1,240,240,1.0,325.061375
