dispatch_rank,id,action,commit_result,selection_to_stage_start_s,initial_staging_s,final_delta_s,staging_s,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:3e752390-73eb-a2a7-2f0d-488ff61e1b1f,R,committed,0.5673794746398926,27.508408308029175,0.10027813911437988,27.608686447143555,28.068860292434692,28.33971905708313,28.452588081359863,1.239776611328125e-05,0.2894730567932129
1,claude:ef2a78d0-bd0d-fa87-2e79-2a0ecd87fc38,S,committed,0.4368283748626709,19.618433713912964,0.0,19.618433713912964,20.047306776046753,20.055262088775635,20.145147562026978,1.5974044799804688e-05,0.0004935264587402344
2,codex:05b7bdc0-9aab-1889-bf09-2de576242ae8,R,committed,28.654431104660034,4.901811361312866,0.0,4.901811361312866,33.55118703842163,33.5562424659729,33.641228914260864,1.6450881958007812e-05,0.0006649494171142578
3,codex:50213662-26c1-da31-28f7-88a6f1bb2d62,R,committed,33.841490268707275,4.285099506378174,0.0920107364654541,4.377110242843628,38.121055364608765,38.38188862800598,38.46484994888306,2.3365020751953125e-05,0.25316858291625977
4,claude:182ab721-e93e-b060-2eec-e63525561590,R,committed,38.653695821762085,7.5433268547058105,0.12237334251403809,7.665700197219849,46.192949295043945,53.57852554321289,53.6619439125061,2.0503997802734375e-05,7.380388259887695
5,claude:fb9cea0c-efd8-bd5e-9f8c-4f30a3b163aa,R,committed,46.369242906570435,6.849775552749634,0.0,6.849775552749634,53.21462607383728,53.21901845932007,53.303616762161255,1.4543533325195312e-05,0.0004889965057373047
6,claude:a12ba4aa-e366-86ba-e02b-cad4d98801ce,R,committed,53.8471462726593,14.938944101333618,0.1042790412902832,15.043223142623901,68.78122282028198,69.06374144554138,69.14546418190002,2.4557113647460938e-05,0.2730824947357178
