source_id,instance_id,model_name,trajectory_available,trajectory_length,final_success_available,final_success,patch_available,eval_log_available,repo_name,issue_id,raw_path_or_dataset_index,parse_status,parse_error
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,81,True,False,False,False,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71477,ok,
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,25,True,False,True,True,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71478,ok,
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,35,True,False,True,True,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71479,ok,
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,15,True,False,True,True,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71480,ok,
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,23,True,False,True,True,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71481,ok,
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,21,True,True,True,True,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71482,ok,
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,71,True,False,False,False,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71483,ok,
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,21,True,False,True,True,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71484,ok,
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,15,True,False,True,True,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71485,ok,
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,13,True,False,True,True,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71486,ok,
nebius:15five__scim2-filter-parser-13:swe-agent-llama-70b,15five__scim2-filter-parser-13,swe-agent-llama-70b,True,129,True,False,True,True,15five/scim2-filter-parser,13,nebius/SWE-agent-trajectories:train:71487,ok,
nebius:20c__ctl-3:swe-agent-llama-70b,20c__ctl-3,swe-agent-llama-70b,True,43,True,False,True,True,20c/ctl,3,nebius/SWE-agent-trajectories:train:32824,ok,
nebius:20c__ctl-3:swe-agent-llama-70b,20c__ctl-3,swe-agent-llama-70b,True,23,True,False,True,True,20c/ctl,3,nebius/SWE-agent-trajectories:train:32825,ok,
nebius:20c__ctl-3:swe-agent-llama-70b,20c__ctl-3,swe-agent-llama-70b,True,17,True,False,True,True,20c/ctl,3,nebius/SWE-agent-trajectories:train:32826,ok,
nebius:20c__ctl-3:swe-agent-llama-70b,20c__ctl-3,swe-agent-llama-70b,True,27,True,False,True,True,20c/ctl,3,nebius/SWE-agent-trajectories:train:32827,ok,
nebius:20c__ctl-3:swe-agent-llama-70b,20c__ctl-3,swe-agent-llama-70b,True,35,True,False,True,True,20c/ctl,3,nebius/SWE-agent-trajectories:train:32828,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,5,True,False,False,False,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32829,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,13,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32830,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,11,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32831,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,7,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32832,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,15,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32833,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,9,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32834,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,73,True,False,False,False,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32835,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,29,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32836,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,21,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32837,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,15,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32838,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,87,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32839,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,19,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32840,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,71,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32841,ok,
nebius:3YOURMIND__django-migration-linter-186:swe-agent-llama-70b,3YOURMIND__django-migration-linter-186,swe-agent-llama-70b,True,21,True,False,True,True,3YOURMIND/django-migration-linter,186,nebius/SWE-agent-trajectories:train:32842,ok,
