phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,288.61162499999995
baseline,1,240,240,1.0,82.95058333333333
drain,0,93,93,1.0,195.81129032258065
drain,1,93,93,1.0,349.7994623655914
post,0,240,240,1.0,131.81429166666666
post,1,240,240,1.0,287.04979166666664
