phase,gpu,samples,power_mean_w
baseline,0,479,349.0822964509394
baseline,1,479,82.59929018789144
drain,0,398,216.9630904522613
drain,1,398,197.3488442211055
post,0,480,106.74649999999998
post,1,480,248.04752083333335
