case_id,policy,budget,time_s,residual_slack,requested_fraction,target_met_by_30s
constraint/quota-30,queue_haul_lp,VRAM,0.0,1.0,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Network bandwidth,0.0,1.0,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Prefill capacity,0.0,1.0,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,VRAM,3.3229898400932947,0.9853801169590644,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Network bandwidth,3.3229898400932947,0.9999989709656133,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Prefill capacity,3.3229898400932947,0.46832574172261965,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,VRAM,3.3237266502725205,0.9853801169590644,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Network bandwidth,3.3237266502725205,0.9999960586905072,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Prefill capacity,3.3237266502725205,0.46832574172261965,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,VRAM,6.646491595646481,0.9707602339181286,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Network bandwidth,6.646491595646481,0.9999921173810143,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Prefill capacity,6.646491595646481,0.46832574172261965,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,VRAM,9.96925654102044,0.956140350877193,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Network bandwidth,9.96925654102044,0.9999881760715216,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Prefill capacity,9.96925654102044,0.46832574172261965,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,VRAM,13.2920214863944,0.9415204678362573,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Network bandwidth,13.2920214863944,0.9999842347620288,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Prefill capacity,13.2920214863944,0.46831409262219514,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,VRAM,16.614786431768362,0.9269005847953217,0.6666666666666666,True
constraint/quota-30,queue_haul_lp,Network bandwidth,16.614786431768362,0.999980293452536,0.6666666666666666,True
