stratum,bin,n,mean_predicted_p,observed_rate
pooled,0,393384,0.0,0.09077898440200924
pooled,1,555205,0.14993226307570934,0.17849442998532072
pooled,2,527992,0.25521991684150397,0.30683230048940136
pooled,3,253239,0.35083071810619126,0.41566267439059545
pooled,4,276586,0.44829580465381613,0.49527091031360954
pooled,5,477090,0.5403065967932795,0.6052631578947368
pooled,6,297541,0.6456234968241935,0.7163819440009949
pooled,7,485175,0.7601541412394919,0.8013479672283197
pooled,8,492538,0.8455770657184739,0.8735407217311152
pooled,9,1879656,1.0,0.9737925450188758
swe-agent,0,373984,0.0,0.0867630700778643
swe-agent,1,490461,0.14966026165269067,0.17308613732794248
swe-agent,2,463362,0.25510434654398356,0.3051911896098515
swe-agent,3,218502,0.35110187469263915,0.413854335429424
swe-agent,4,232870,0.4494656254484676,0.4960621806157942
swe-agent,5,427210,0.5399467577343,0.6090962290208563
swe-agent,6,259246,0.6459495476468139,0.7217199108182961
swe-agent,7,439668,0.7606486863116806,0.8040271295613963
swe-agent,8,450155,0.8466930793421598,0.8741811153935867
swe-agent,9,1750480,1.0,0.9746783739317216
swe-agent x long,0,206603,0.0,0.08279163419698649
swe-agent x long,1,322713,0.14872277797048258,0.15505418126942516
swe-agent x long,2,265140,0.25743437319976864,0.24648864750697744
swe-agent x long,3,136837,0.3500213380499761,0.35760064894728766
swe-agent x long,4,153602,0.44999980957078484,0.3928985299670577
swe-agent x long,5,231515,0.5426281268871899,0.4700300196531542
swe-agent x long,6,167108,0.6456128827183423,0.6239557651339254
swe-agent x long,7,269697,0.7594307606707317,0.7119359874229227
swe-agent x long,8,260137,0.8480258007108032,0.788192375555957
swe-agent x long,9,1189767,1.0,0.9629826680350018
swe-agent x short,0,68586,0.0,0.11384247514069927
swe-agent x short,1,52719,0.15179463825520828,0.26899220394924034
swe-agent x short,2,65939,0.24973480481487817,0.5687074417264442
swe-agent x short,3,18097,0.3515697746833838,0.8011272586616567
swe-agent x short,4,20260,0.44856553879527916,0.9477295162882527
swe-agent x short,5,67331,0.5324253148328292,0.958696588495641
swe-agent x short,6,26042,0.6458627507674847,0.9993856078642194
swe-agent x short,7,52388,0.7639184885385458,0.9999236466366344
swe-agent x short,8,69264,0.8440417613610903,1.0
swe-agent x short,9,176651,1.0,1.0
swe-agent x medium,0,98795,0.0,0.07626904195556455
swe-agent x medium,1,115029,0.1513121578823793,0.17971989672169628
swe-agent x medium,2,132283,0.25311073394433864,0.291496261802348
swe-agent x medium,3,63568,0.35329464159479834,0.4246948150012585
swe-agent x medium,4,59008,0.4483841450732078,0.609527521691974
swe-agent x medium,5,128364,0.5390559245749657,0.676537035305849
swe-agent x medium,6,66096,0.6468349229671709,0.8594922536916001
swe-agent x medium,7,117583,0.7619853803271363,0.9279742819965471
swe-agent x medium,8,120754,0.8453428197237177,0.9872550805770409
swe-agent x medium,9,384062,1.0,0.9992631398055523
hermes,0,6136,0.0,0.1993155149934811
hermes,1,27399,0.16306451691935178,0.2692434030439067
hermes,2,31384,0.2520325126054835,0.3543843996941117
hermes,3,17200,0.35115744592685727,0.46424418604651163
hermes,4,19077,0.4451347942178713,0.5371389631493422
hermes,5,24108,0.5425737392631836,0.5947403351584536
hermes,6,11117,0.6528325823133284,0.7029774219663578
hermes,7,25361,0.752915239602974,0.7856157091597334
hermes,8,13667,0.8392588931690916,0.8974903051145094
hermes,9,65786,1.0,0.9755571094153771
hermes x medium,0,2208,0.0,0.13451086956521738
hermes x medium,1,8871,0.1617937127762991,0.3315297035283508
hermes x medium,2,9846,0.25285299189687577,0.4146861669713589
hermes x medium,3,4738,0.35340089083706544,0.6080624736175602
hermes x medium,4,6584,0.44250654818514484,0.6857533414337789
hermes x medium,5,7516,0.5417889290249172,0.778605641298563
hermes x medium,6,2980,0.6586795612325411,0.8946308724832215
hermes x medium,7,8605,0.7536275219470593,0.9284137129575828
hermes x medium,8,3766,0.8343988113305538,0.9989378651088688
hermes x medium,9,22053,1.0,1.0
hermes x short,0,1994,0.0,0.38064192577733197
hermes x short,1,3853,0.1668338192336884,0.6467687516221127
hermes x short,2,3759,0.24457111757106106,0.7866453844107475
hermes x short,3,1698,0.3521893927281192,0.842756183745583
hermes x short,4,1678,0.44152880461825966,0.9606674612634089
hermes x short,5,2794,0.5416531641009792,0.9677881173944166
hermes x short,6,777,0.6765312718656439,1.0
hermes x short,7,3016,0.743861166016673,1.0
hermes x short,8,138,0.8273790027507054,1.0
hermes x short,9,9767,1.0,1.0
hermes x long,0,1934,0.0,0.08634953464322648
hermes x long,1,14675,0.16284306422670103,0.1324701873935264
hermes x long,2,17779,0.2531556885339079,0.22959671522582822
hermes x long,3,10764,0.350007159076903,0.3412300260126347
hermes x long,4,10815,0.44729431547793086,0.38095238095238093
