stratum,n,median_interval80_width
pooled,917339,18.83973887824666
swe-agent,828735,19.159666537716166
swe-agent x long,552078,17.487741394460244
swe-agent x short,88581,20.361947371775887
swe-agent x medium,188076,20.361947371775887
hermes,44780,10.990963562566257
hermes x medium,13750,11.244312450639093
hermes x short,4922,11.997392333077599
hermes x long,26108,10.385228308255464
terminalbench,43824,23.467198302524142
terminalbench x long,33811,26.333749655079554
terminalbench x medium,7845,22.61962163954351
terminalbench x short,2168,22.01849042383402
