source_length_tercile,current_category,n,mean_predicted_p,observed_rate,mean_bias
swe-agent x long,ARTIFACT,3388,0.8994266356070938,0.9710743801652892,-0.07164774455819545
swe-agent x long,ENVIRONMENT,15867,0.5789114378763517,0.5118169786349026,0.06709445924144908
swe-agent x long,INVESTIGATION,1469127,0.7368728083211792,0.7334212767173974,0.0034515316037817545
swe-agent x long,NONE,74382,0.5150588362296669,0.45301282568363316,0.0620460105460337
swe-agent x long,PRODUCT,1152727,0.6096394558783177,0.5696257656843294,0.04001369019398826
swe-agent x long,VALIDATION,487628,0.5047204574276278,0.4479193155438162,0.056801141883811634
swe-agent x short,ARTIFACT,14,0.5691219462253844,1.0,-0.43087805377461563
swe-agent x short,ENVIRONMENT,1775,0.5340399796907211,0.7498591549295774,-0.2158191752388563
swe-agent x short,INVESTIGATION,264622,0.6343242171797383,0.7996614038137418,-0.16533718663400354
swe-agent x short,NONE,74389,0.5150588362296669,0.6462917904528895,-0.13123295422322268
swe-agent x short,PRODUCT,215420,0.5896164840889323,0.8064432271841054,-0.21682674309517314
swe-agent x short,VALIDATION,61057,0.5499656285417563,0.7748333524411616,-0.22486772389940524
