stratum,bin,bootstrap_resamples,seed,observed_low,observed_high
hermes x long,9,1000,1729,0.940628806775335,0.9635226065399599
hermes,0,1000,1729,0.18286858727468802,0.2149283572142619
hermes,1,1000,1729,0.2543295398317664,0.2838323792749156
hermes,2,1000,1729,0.3400369571912535,0.36840407689330407
hermes,3,1000,1729,0.44733020554066133,0.48386700264273863
hermes,4,1000,1729,0.51711943417457,0.5575042517006803
hermes,5,1000,1729,0.5725835940356722,0.6187179278325324
hermes,6,1000,1729,0.6779277318241184,0.7275769745649264
hermes,7,1000,1729,0.7684267997816083,0.8027510528959468
hermes,8,1000,1729,0.8802837290098436,0.9149788559982195
hermes,9,1000,1729,0.9690660860888103,0.9816478059866445
swe-agent x short,0,1000,1729,0.11006234341315621,0.11779870805197087
swe-agent x short,1,1000,1729,0.26126126126126126,0.2767096663554429
swe-agent x short,2,1000,1729,0.5595694105891081,0.5783883559778498
swe-agent x short,3,1000,1729,0.7917938099389712,0.810893005252972
swe-agent x short,4,1000,1729,0.9417534329259092,0.9534557078510195
swe-agent x short,5,1000,1729,0.9549979849844022,0.9623701457933925
swe-agent x short,6,1000,1729,0.9988529917797744,0.9997727789138832
swe-agent x short,7,1000,1729,0.9997721403615373,1.0
swe-agent x short,8,1000,1729,1.0,1.0
swe-agent x short,9,1000,1729,1.0,1.0
swe-agent x medium,0,1000,1729,0.07351334167809104,0.07905102134285975
swe-agent x medium,1,1000,1729,0.17493237150586113,0.18422560035250055
swe-agent x medium,2,1000,1729,0.2854047221344409,0.29751187891852504
swe-agent x medium,3,1000,1729,0.41567138845168655,0.4338043409076443
swe-agent x medium,4,1000,1729,0.599336452573373,0.6194493634936015
swe-agent x medium,5,1000,1729,0.6679561272682079,0.6847098779376368
swe-agent x medium,6,1000,1729,0.8528035625629993,0.866234200291687
swe-agent x medium,7,1000,1729,0.923158846748768,0.9324730998413855
swe-agent x medium,8,1000,1729,0.9852919450417768,0.9891797527977009
swe-agent x medium,9,1000,1729,0.9989006196744685,0.9995592864090709
swe-agent x long,0,1000,1729,0.07991007177326047,0.08602499913847002
swe-agent x long,1,1000,1729,0.1502092212667967,0.16027443770379435
swe-agent x long,2,1000,1729,0.24021608421364216,0.25324104550591514
swe-agent x long,3,1000,1729,0.34725841067493557,0.36736402293571185
swe-agent x long,4,1000,1729,0.38364348739363674,0.4013960467088525
swe-agent x long,5,1000,1729,0.460029245342997,0.47958131447580177
swe-agent x long,6,1000,1729,0.6083282489322758,0.6383713026766044
swe-agent x long,7,1000,1729,0.7014853319262162,0.7220161715915843
swe-agent x long,8,1000,1729,0.7798303103029184,0.7963255462754646
swe-agent x long,9,1000,1729,0.9596481502519375,0.9661661503050217
swe-agent,0,1000,1729,0.08475886679622475,0.0887156573818804
swe-agent,1,1000,1729,0.1694962197919531,0.17690043183473347
swe-agent,2,1000,1729,0.3003573038117438,0.31013964012356915
swe-agent,3,1000,1729,0.40704879762471385,0.42102665805737477
swe-agent,4,1000,1729,0.48870999658963166,0.5032437161120447
swe-agent,5,1000,1729,0.6027928267767011,0.6163708666583575
swe-agent,6,1000,1729,0.7126000313823945,0.7311300225382762
swe-agent,7,1000,1729,0.7979602744207263,0.8104425032351382
swe-agent,8,1000,1729,0.8691390292115089,0.8790837517822826
swe-agent,9,1000,1729,0.9726116461934949,0.9767255992011027
terminalbench x short,0,1000,1729,0.7802385008517888,0.8850806451612904
terminalbench x short,1,1000,1729,0.633563796354494,0.7146480659480026
terminalbench x short,2,1000,1729,0.8839471855455178,0.9272976680384087
terminalbench x short,3,1000,1729,0.9259776536312849,0.976063829787234
terminalbench x short,4,1000,1729,0.9942487419122933,0.9993201903467029
terminalbench x short,5,1000,1729,0.9956395348837209,1.0
terminalbench x short,6,1000,1729,1.0,1.0
terminalbench x short,7,1000,1729,1.0,1.0
terminalbench x short,8,1000,1729,1.0,1.0
terminalbench x short,9,1000,1729,1.0,1.0
terminalbench x medium,0,1000,1729,0.3618980169971671,0.450187265917603
