stratum,n,full_key_rate,low_confidence_rate
pooled,917339,0.7980473957828023,0.2996373205543425
swe-agent,828735,0.8251889928626159,0.27353737925874977
swe-agent x long,552078,0.7536163368219708,0.38166708327446486
swe-agent x short,88581,0.9913186800781206,0.017554554588455763
swe-agent x medium,188076,0.9570386439524448,0.07669771794380995
hermes,44780,0.802925413130862,0.3012728896828942
hermes x medium,13750,0.8888727272727273,0.19112727272727273
hermes x short,4922,0.9654611946363267,0.0938642828118651
hermes x long,26108,0.727018538379041,0.3983836371993259
terminalbench,43824,0.2798010222709018,0.7915297553851771
terminalbench x long,33811,0.1779598355564757,0.8783827748365917
terminalbench x medium,7845,0.547100063734863,0.5908221797323135
terminalbench x short,2168,0.900830258302583,0.16328413284132842
