source,position_bin,position_low,position_high,position_midpoint,n,mean_interval80_width,p25_interval80_width,p75_interval80_width
hermes,0,0.0,0.05,0.025,1496,13.429448393804737,13.56137995651693,13.56137995651693
hermes,1,0.05,0.1,0.07500000000000001,2232,12.618672031451341,11.997392333077599,13.56137995651693
hermes,2,0.1,0.15,0.125,2375,12.20217156229941,11.588038921627247,12.550027543370245
hermes,3,0.15,0.2,0.175,2208,11.881526734614106,11.244312450639093,12.058685208348152
hermes,4,0.2,0.25,0.225,2277,11.631542070713712,11.018010214022024,11.997392333077599
hermes,5,0.25,0.3,0.275,2377,11.590266122708073,10.74288381039204,11.997392333077599
hermes,6,0.3,0.35,0.32499999999999996,2456,11.339600736997934,10.345184426352144,11.832549729671516
hermes,7,0.35,0.4,0.375,2267,11.050966477072391,9.80753746854356,11.588038921627247
hermes,8,0.4,0.45,0.42500000000000004,2325,10.971174011461784,9.601281506858767,11.588038921627247
hermes,9,0.45,0.5,0.475,1810,10.741375290272153,9.307376229489844,11.263205912727393
hermes,10,0.5,0.55,0.525,2961,10.98234369164318,9.439094836139223,11.666688359801633
hermes,11,0.55,0.6,0.575,2053,10.670222684518,9.060140165078394,11.322329913111354
hermes,12,0.6,0.65,0.625,2539,10.673334337907333,9.0012767252711,11.40898542762915
hermes,13,0.65,0.7,0.675,2222,10.548490659758613,8.687668516621816,11.371405011710442
hermes,14,0.7,0.75,0.725,2107,10.40423412021194,8.401973941526766,11.225885457991213
hermes,15,0.75,0.8,0.775,2494,10.439856517050252,8.422338933656508,11.263205912727393
hermes,16,0.8,0.85,0.825,2469,10.264233341685644,8.229243991277993,11.154407161847494
hermes,17,0.85,0.9,0.875,2124,10.172412280629532,8.089865739716844,11.10349675849813
hermes,18,0.9,0.95,0.925,2442,10.093557708261907,7.8967125206764965,11.02375210785792
hermes,19,0.95,1.0,0.975,1546,10.015382360222839,7.670904858709647,10.750714070786346
swe-agent,0,0.0,0.05,0.025,34209,20.220086119628185,20.361947371775887,20.361947371775887
swe-agent,1,0.05,0.1,0.07500000000000001,42313,19.73363400897245,16.733615643866127,22.309969518700015
swe-agent,2,0.1,0.15,0.125,42206,19.449228506068092,16.69860531241478,22.309969518700015
swe-agent,3,0.15,0.2,0.175,40719,19.274053580214236,16.487199331380566,22.309969518700015
swe-agent,4,0.2,0.25,0.225,43760,19.15222839250465,15.719692740432194,22.486005530119982
swe-agent,5,0.25,0.3,0.275,42233,18.891932991577978,14.73053158171129,22.995201483703546
swe-agent,6,0.3,0.35,0.32499999999999996,42219,18.660823646049977,12.708163051827668,23.4551379352998
swe-agent,7,0.35,0.4,0.375,40719,18.411511110723815,10.389298268975459,23.993509537457417
swe-agent,8,0.4,0.45,0.42500000000000004,43680,18.348336672965903,9.329760765371157,24.176893663129192
swe-agent,9,0.45,0.5,0.475,42313,18.039629737481995,6.91717670023287,24.45082105507063
swe-agent,10,0.5,0.55,0.525,42314,17.806431324553245,5.280465939473562,24.864516562727253
swe-agent,11,0.55,0.6,0.575,40612,17.57441003580254,3.412922804389771,25.40402684441859
swe-agent,12,0.6,0.65,0.625,43787,17.512838859392133,2.9821112831488064,25.469872548009022
swe-agent,13,0.65,0.7,0.675,42219,17.25217534164944,2.0243657367715437,25.869380736507722
swe-agent,14,0.7,0.75,0.725,42233,17.205798951522386,2.000000388871605,26.193561926543463
swe-agent,15,0.75,0.8,0.775,40692,17.06783816289441,2.000000388871605,26.383593947195166
swe-agent,16,0.8,0.85,0.825,43787,17.23371541805042,2.000000388871605,26.47755269807676
swe-agent,17,0.85,0.9,0.875,42206,17.32173740584615,2.0000000130707214,27.096050355442937
swe-agent,18,0.9,0.95,0.925,42313,17.566616691686445,2.0000000130707214,27.514185469169448
swe-agent,19,0.95,1.0,0.975,34201,17.088194408635772,1.0000003888716074,28.287246488105147
terminalbench,0,0.0,0.05,0.025,1716,22.395266026182085,22.01849042383402,22.925105624387882
terminalbench,1,0.05,0.1,0.07500000000000001,2212,23.47598033030583,22.01849042383402,22.99820520056285
terminalbench,2,0.1,0.15,0.125,2351,24.3503879249863,21.71663460476434,23.517540947124907
terminalbench,3,0.15,0.2,0.175,2192,25.43983243560316,21.55412051804953,26.3553162179259
terminalbench,4,0.2,0.25,0.225,2276,26.222055029912728,21.312466713988574,28.948171289160317
terminalbench,5,0.25,0.3,0.275,2445,26.748956080076447,21.17550676040739,31.060114403313037
terminalbench,6,0.3,0.35,0.32499999999999996,2367,27.644076965968193,21.312295094476355,33.25567276641202
terminalbench,7,0.35,0.4,0.375,2161,29.067317358661807,21.307090199862152,36.645312399238406
terminalbench,8,0.4,0.45,0.42500000000000004,2403,28.65765987713392,21.17550676040739,34.26609764774268
terminalbench,9,0.45,0.5,0.475,1957,29.970613475066703,21.120510405392118,38.38320231115663
terminalbench,10,0.5,0.55,0.525,2529,28.758319937802366,21.333028196059832,34.512471043218405
terminalbench,11,0.55,0.6,0.575,2126,30.364700075365725,21.180787411425925,38.4789975270743
terminalbench,12,0.6,0.65,0.625,2286,29.359904893698797,21.31772767012819,38.381848025298524
terminalbench,13,0.65,0.7,0.675,2191,29.46397027202253,21.19362049326694,38.82182681577859
terminalbench,14,0.7,0.75,0.725,2120,30.488873002337815,21.586041939626966,40.224648194194316
terminalbench,15,0.75,0.8,0.775,2245,30.53366311677074,21.809613697752756,40.235490124583734
terminalbench,16,0.8,0.85,0.825,2303,31.632561033974362,21.593720958679334,40.95606377105534
terminalbench,17,0.85,0.9,0.875,2175,33.07304797053418,21.618575298255095,43.022898960819646
